
 lastking1418,     WWWWWWWW,        <Channel name: kaicenat>,       2024-11-07 11:44:57.913886 

 lastking1418,     305 in da building do ya thang Kai,        <Channel name: kaicenat>,       2024-11-07 12:30:31.315790 

 lastking1418,     Been watching Kai for years had to get a new account keep it up Kai,        <Channel name: kaicenat>,       2024-11-07 12:33:13.184860 

 lastking1418,     If I wasn't broke I'll shoot them subs to him,        <Channel name: kaicenat>,       2024-11-07 12:34:21.573860 

 lastking1418,     I don't even really know about gifts but shoot me one,        <Channel name: kaicenat>,       2024-11-07 12:39:29.174453 
lastking1418,     Heads,        <Channel name: kaicenat>,       2024-11-07 15:30:22.837444 
lastking1418,     Heads,        <Channel name: kaicenat>,       2024-11-07 15:30:57.174506 
lastking1418,     Heads,        <Channel name: kaicenat>,       2024-11-07 15:31:27.946022 
lastking1418,     Heads,        <Channel name: kaicenat>,       2024-11-07 15:32:01.789838 
lastking1418,     Heads,        <Channel name: kaicenat>,       2024-11-07 15:32:34.430870 
lastking1418,     Heads,        <Channel name: kaicenat>,       2024-11-07 15:33:12.831369 
lastking1418,     Heads,        <Channel name: kaicenat>,       2024-11-07 15:33:52.020856 
lastking1418,     Heads,        <Channel name: kaicenat>,       2024-11-07 15:34:35.771819 
lastking1418,     Heads,        <Channel name: kaicenat>,       2024-11-07 15:35:24.764658 
lastking1418,     Heads,        <Channel name: kaicenat>,       2024-11-07 15:35:57.112466 
lastking1418,     Heads,        <Channel name: kaicenat>,       2024-11-07 15:36:40.224026 
lastking1418,     Heads,        <Channel name: kaicenat>,       2024-11-07 15:37:38.069036 
lastking1418,     305/561,        <Channel name: kaicenat>,       2024-11-07 15:37:45.965828 
lastking1418,     Heads,        <Channel name: kaicenat>,       2024-11-07 15:39:09.899376 
lastking1418,     heads,        <Channel name: kaicenat>,       2024-11-07 15:39:20.699946 
lastking1418,     Heads,        <Channel name: kaicenat>,       2024-11-07 15:39:27.100118 
lastking1418,     I pick heads,        <Channel name: kaicenat>,       2024-11-07 15:39:51.226139 
lastking1418,     Heads,        <Channel name: kaicenat>,       2024-11-07 15:40:01.054369 
lastking1418,     Heads,        <Channel name: kaicenat>,       2024-11-07 15:40:51.507137 
lastking1418,     Subscribe to my channel live prison stories,        <Channel name: kaicenat>,       2024-11-07 15:41:19.384286 
