
 lesifiso,     please please please a sub  please,        <Channel name: kaicenat>,       2024-11-07 01:44:51.085627 

 lesifiso,     please gift me a sub,        <Channel name: kaicenat>,       2024-11-07 01:46:22.831093 

 lesifiso,     gift please,        <Channel name: kaicenat>,       2024-11-07 01:48:40.567661 

 lesifiso,     please gift me,        <Channel name: kaicenat>,       2024-11-07 01:50:59.222784 

 lesifiso,     gift me please,        <Channel name: kaicenat>,       2024-11-07 01:53:16.898775 

 lesifiso,     someone please sub me,        <Channel name: kaicenat>,       2024-11-07 01:54:16.592039 

 lesifiso,     gift sub that is,        <Channel name: kaicenat>,       2024-11-07 01:54:41.261685 

 lesifiso,     gift a brother from Africa a dub please,        <Channel name: kaicenat>,       2024-11-07 01:57:32.914757 

 lesifiso,     buh buh buh,        <Channel name: kaicenat>,       2024-11-07 01:59:24.073397 

 lesifiso,     33,        <Channel name: kaicenat>,       2024-11-07 02:01:00.479155 

 lesifiso,     5000000,        <Channel name: kaicenat>,       2024-11-07 02:02:27.039077 

 lesifiso,     61111111,        <Channel name: kaicenat>,       2024-11-07 02:03:58.323782 

 lesifiso,     ngift sub me please,        <Channel name: kaicenat>,       2024-11-07 02:05:18.300647 

 lesifiso,     wwwwwweee,        <Channel name: kaicenat>,       2024-11-07 02:08:16.836046 

 lesifiso,     WWWWWWWWWWWWWWWWWWW,        <Channel name: kaicenat>,       2024-11-07 02:08:49.204973 

 lesifiso,     WWWWWWWWWW,        <Channel name: kaicenat>,       2024-11-07 02:08:54.723913 

 lesifiso,     WWWWWWWWW,        <Channel name: kaicenat>,       2024-11-07 02:09:05.983022 

 lesifiso,     WWW,        <Channel name: kaicenat>,       2024-11-07 02:09:10.884445 

 lesifiso,     WWWWW,        <Channel name: kaicenat>,       2024-11-07 02:09:18.522684 

 lesifiso,     wwwwwWWWWWWWW,        <Channel name: kaicenat>,       2024-11-07 02:09:49.985450 

 lesifiso,     hi,        <Channel name: kaicenat>,       2024-11-07 02:10:09.513107 
