
 lilcapt209,     W LACY,        <Channel name: lacy>,       2024-11-07 13:08:55.670539 

 lilcapt209,     Pre broken leg,        <Channel name: lacy>,       2024-11-07 13:09:57.661900 

 lilcapt209,     Your leg lacy,        <Channel name: lacy>,       2024-11-07 13:10:14.951678 

 lilcapt209,     @roctyo that insane to say,        <Channel name: lacy>,       2024-11-07 13:11:16.815196 

 lilcapt209,     IM PRETTY SURE WHEN KAI WENT IT F HIM SO WAIT CHAT,        <Channel name: lacy>,       2024-11-07 13:12:17.256769 

 lilcapt209,     ITS GOOD,        <Channel name: lacy>,       2024-11-07 13:15:01.412789 

 lilcapt209,     WE GOOD,        <Channel name: lacy>,       2024-11-07 13:15:08.394588 

 lilcapt209,     WE GOODY LACY,        <Channel name: lacy>,       2024-11-07 13:15:47.090403 

 lilcapt209,     YOUR SO MEAN LACY DONT HURT OUR POOR LINA,        <Channel name: lacy>,       2024-11-07 13:19:29.235552 

 lilcapt209,     ITS GOOD,        <Channel name: lacy>,       2024-11-07 13:21:02.053244 

 lilcapt209,     NOT LAGGING,        <Channel name: lacy>,       2024-11-07 13:21:12.705272 

 lilcapt209,     GOOD,        <Channel name: lacy>,       2024-11-07 13:21:18.546384 

 lilcapt209,     GOODY LACY,        <Channel name: lacy>,       2024-11-07 13:21:34.542152 

 lilcapt209,     NOOO DOMT LET HER FALL ON HER GYAATT,        <Channel name: lacy>,       2024-11-07 13:24:13.071414 
