
 luisithuone,     WELCUM hi,        <Channel name: aldo_geo>,       2024-11-07 01:50:25.964726 

 luisithuone,     pe,        <Channel name: aldo_geo>,       2024-11-07 01:52:55.850481 

 luisithuone,     XDED,        <Channel name: aldo_geo>,       2024-11-07 01:56:22.629559 

 luisithuone,     ????,        <Channel name: aldo_geo>,       2024-11-07 02:00:24.110965 

 luisithuone,     ????,        <Channel name: aldo_geo>,       2024-11-07 02:07:11.411435 

 luisithuone,     elibeiBiserio,        <Channel name: aldo_geo>,       2024-11-07 02:10:22.753837 

 luisithuone,     XD,        <Channel name: aldo_geo>,       2024-11-07 02:45:17.149174 

 luisithuone,     o7,        <Channel name: aldo_geo>,       2024-11-07 02:47:56.523799 

 luisithuone,     I WAS HERE o7,        <Channel name: aldo_geo>,       2024-11-07 02:49:35.553362 

 luisithuone,     pepeHmm,        <Channel name: aldo_geo>,       2024-11-07 02:53:00.070981 

 luisithuone,     xd ??,        <Channel name: aldo_geo>,       2024-11-07 02:53:20.570749 
