
 magdarhgreen,     Mmmmm,        <Channel name: kaicenat>,       2024-11-07 02:22:45.067580 

 magdarhgreen,     Mmmm,        <Channel name: kaicenat>,       2024-11-07 02:24:07.882408 

 magdarhgreen,     He grown now,        <Channel name: kaicenat>,       2024-11-07 02:24:27.492644 

 magdarhgreen,     Fax,        <Channel name: kaicenat>,       2024-11-07 02:28:46.680475 

 magdarhgreen,     Gift me,        <Channel name: kaicenat>,       2024-11-07 02:29:03.627484 

 magdarhgreen,     kaicFireMGM kaicWAVE,        <Channel name: kaicenat>,       2024-11-07 09:00:30.653607 

 magdarhgreen,     Hes waking up in two hours..lets get it to 230k sub chat,        <Channel name: kaicenat>,       2024-11-07 10:10:47.882852 

 magdarhgreen,     W gift,        <Channel name: kaicenat>,       2024-11-07 11:39:29.497887 

 magdarhgreen,     W,        <Channel name: kaicenat>,       2024-11-07 11:40:01.915132 

 magdarhgreen,     VoteYea BratChat,        <Channel name: kaicenat>,       2024-11-07 11:40:46.462586 

 magdarhgreen,     TWITH,        <Channel name: kaicenat>,       2024-11-07 11:40:56.568624 

 magdarhgreen,     W,        <Channel name: kaicenat>,       2024-11-07 11:41:07.771677 

 magdarhgreen,     Www,        <Channel name: kaicenat>,       2024-11-07 11:55:40.295862 

 magdarhgreen,     Lets goooo,        <Channel name: kaicenat>,       2024-11-07 12:39:18.395140 

 magdarhgreen,     Lets goooo chat,        <Channel name: kaicenat>,       2024-11-07 12:39:34.412006 

 magdarhgreen,     Gift a 100,        <Channel name: kaicenat>,       2024-11-07 12:40:28.593556 

 magdarhgreen,     Gift 50,        <Channel name: kaicenat>,       2024-11-07 12:41:02.242971 

 magdarhgreen,     Gift 50 chat,        <Channel name: kaicenat>,       2024-11-07 12:42:02.754950 

 magdarhgreen,     GayPride GayPride GayPride GayPride GayPride,        <Channel name: kaicenat>,       2024-11-07 12:42:11.310846 

 magdarhgreen,     Gift 50,        <Channel name: kaicenat>,       2024-11-07 12:42:40.350739 

 magdarhgreen,     Gift 50,        <Channel name: kaicenat>,       2024-11-07 12:43:55.292220 

 magdarhgreen,     Lets goo,        <Channel name: kaicenat>,       2024-11-07 12:44:19.401797 

 magdarhgreen,     LETS GOOOOOOOOOOOOOOO,        <Channel name: kaicenat>,       2024-11-07 12:44:33.660069 

 magdarhgreen,     Gift 50,        <Channel name: kaicenat>,       2024-11-07 12:44:49.356951 

 magdarhgreen,     Deng,        <Channel name: kaicenat>,       2024-11-07 12:45:08.695428 

 magdarhgreen,     Www,        <Channel name: kaicenat>,       2024-11-07 12:45:42.366430 

 magdarhgreen,     CurseLit CurseLit CurseLit CurseLit CurseLit CurseLit,        <Channel name: kaicenat>,       2024-11-07 12:46:09.671627 

 magdarhgreen,     40,        <Channel name: kaicenat>,       2024-11-07 12:46:27.054059 

 magdarhgreen,     34,        <Channel name: kaicenat>,       2024-11-07 12:47:22.839181 

 magdarhgreen,     Www,        <Channel name: kaicenat>,       2024-11-07 12:47:38.864722 

 magdarhgreen,     W230,        <Channel name: kaicenat>,       2024-11-07 12:48:14.834694 

 magdarhgreen,     Wwww230,        <Channel name: kaicenat>,       2024-11-07 12:48:30.632125 

 magdarhgreen,     kaicFireMGM kaicFireMGM kaicFireMGM kaicFireMGM kaicFireMGM kaicFireMGM kaicFireMGM kaicFireMGM kaicFireMGM,        <Channel name: kaicenat>,       2024-11-07 12:48:52.698405 

 magdarhgreen,     Wwwww,        <Channel name: kaicenat>,       2024-11-07 12:50:43.938916 

 magdarhgreen,     W 230k,        <Channel name: kaicenat>,       2024-11-07 12:51:57.076763 

 magdarhgreen,     W230k,        <Channel name: kaicenat>,       2024-11-07 12:53:13.117423 

 magdarhgreen,     Miles you said you doing a backflip at 230k,        <Channel name: kaicenat>,       2024-11-07 12:55:30.657713 

 magdarhgreen,     W,        <Channel name: kaicenat>,       2024-11-07 12:56:13.349261 

 magdarhgreen,     YOH,        <Channel name: kaicenat>,       2024-11-07 12:56:38.838254 
