
 malachi_5,     THE WAY THAT SHIRTS FITS IS FIRE,        <Channel name: kaicenat>,       2024-11-07 01:41:20.085444 

 malachi_5,     THROUGHOUT THE DAY,        <Channel name: kaicenat>,       2024-11-07 01:41:48.685179 

 malachi_5,     20 SEC,        <Channel name: kaicenat>,       2024-11-07 01:45:00.950839 

 malachi_5,     u got it,        <Channel name: kaicenat>,       2024-11-07 01:52:18.387616 

 malachi_5,     33,        <Channel name: kaicenat>,       2024-11-07 02:00:33.170263 

 malachi_5,     sit yo ass down,        <Channel name: kaicenat>,       2024-11-07 02:10:21.556689 

 malachi_5,     i need context?,        <Channel name: kaicenat>,       2024-11-07 02:30:58.038268 

 malachi_5,     we know about you kai,        <Channel name: kaicenat>,       2024-11-07 02:39:42.310969 

 malachi_5,     plz answer rage,        <Channel name: kaicenat>,       2024-11-07 02:42:21.671579 
