
 mar1ckk,     England,        <Channel name: shadowkekw>,       2024-11-07 10:19:39.447396 

 mar1ckk,     belarus,        <Channel name: shadowkekw>,       2024-11-07 10:19:56.357841 

 mar1ckk,     india,        <Channel name: shadowkekw>,       2024-11-07 10:21:52.495612 

 mar1ckk,     bangladesh,        <Channel name: shadowkekw>,       2024-11-07 10:21:55.972338 

 mar1ckk,     usa,        <Channel name: shadowkekw>,       2024-11-07 10:22:51.112544 

 mar1ckk,     united states,        <Channel name: shadowkekw>,       2024-11-07 10:27:19.093053 

 mar1ckk,     us,        <Channel name: shadowkekw>,       2024-11-07 10:36:23.008376 

 mar1ckk,     us,        <Channel name: shadowkekw>,       2024-11-07 10:39:44.599719 

 mar1ckk,     us,        <Channel name: shadowkekw>,       2024-11-07 10:42:07.225323 

 mar1ckk,     us,        <Channel name: shadowkekw>,       2024-11-07 10:46:23.687897 

 mar1ckk,     us,        <Channel name: shadowkekw>,       2024-11-07 10:48:22.218105 

 mar1ckk,     us,        <Channel name: shadowkekw>,       2024-11-07 10:49:09.331348 

 mar1ckk,     @shadowkekw jh,        <Channel name: kaicenat>,       2024-11-07 11:40:55.577041 

 mar1ckk,     hi,        <Channel name: kaicenat>,       2024-11-07 11:40:57.530904 
