
 mariessao,     bro i needa see this earthquake,        <Channel name: kaicenat>,       2024-11-07 10:16:47.968167 

 mariessao,     W MILES FREE MILES,        <Channel name: kaicenat>,       2024-11-07 10:17:20.335578 

 mariessao,     !points,        <Channel name: kaicenat>,       2024-11-07 10:17:34.026311 

 mariessao,     !gamble2,        <Channel name: kaicenat>,       2024-11-07 10:17:40.953486 

 mariessao,     !roulette 2,        <Channel name: kaicenat>,       2024-11-07 10:17:49.321511 

 mariessao,     fanumNOWAY,        <Channel name: kaicenat>,       2024-11-07 10:18:39.317612 

 mariessao,     fanumFORMULA fanumFORMULA,        <Channel name: kaicenat>,       2024-11-07 10:19:07.405183 

 mariessao,     som1 gift meeee fanumCYPHER,        <Channel name: kaicenat>,       2024-11-07 10:20:14.901656 

 mariessao,     why kai sleeping backwards,        <Channel name: kaicenat>,       2024-11-07 10:20:44.241459 

 mariessao,     BLINK TWICE IF U NEED HELP,        <Channel name: kaicenat>,       2024-11-07 10:21:39.538167 

 mariessao,     t fanumPause2,        <Channel name: kaicenat>,       2024-11-07 10:22:40.536842 

 mariessao,     bust a move or som,        <Channel name: kaicenat>,       2024-11-07 10:23:15.604486 

 mariessao,     fanumLMAO fanumLMAO fanumLMAO fanumLMAO fanumLMAO,        <Channel name: kaicenat>,       2024-11-07 10:24:03.633794 

 mariessao,     fanumFACTS,        <Channel name: kaicenat>,       2024-11-07 10:24:14.189313 

 mariessao,     fanumMUCHOMANGO fanumMUCHOMANGO fanumMUCHOMANGO fanumMUCHOMANGO,        <Channel name: kaicenat>,       2024-11-07 10:24:21.003337 

 mariessao,     fanumBANHIM,        <Channel name: kaicenat>,       2024-11-07 10:24:33.217177 

 mariessao,     fanumMAD,        <Channel name: kaicenat>,       2024-11-07 10:24:51.593450 

 mariessao,     fanumLMAO fanumLMAO fanumLMAO fanumLMAO,        <Channel name: kaicenat>,       2024-11-07 10:25:03.465247 
