
 markpz17,     Horn,        <Channel name: kaicenat>,       2024-11-07 10:32:15.673935 

 markpz17,     !points,        <Channel name: kaicenat>,       2024-11-07 10:34:12.612106 

 markpz17,     !roulette 10,        <Channel name: kaicenat>,       2024-11-07 10:34:25.778445 

 markpz17,     !roulette  all,        <Channel name: kaicenat>,       2024-11-07 10:34:38.481226 

 markpz17,     !roulette 34,        <Channel name: kaicenat>,       2024-11-07 10:34:57.448814 

 markpz17,     !roulette 23,        <Channel name: kaicenat>,       2024-11-07 10:35:16.005150 

 markpz17,     !gift 100,        <Channel name: kaicenat>,       2024-11-07 10:35:33.402737 

 markpz17,     !roulette 100,        <Channel name: kaicenat>,       2024-11-07 10:36:01.392408 

 markpz17,     !gift,        <Channel name: kaicenat>,       2024-11-07 10:36:13.660021 

 markpz17,     !gift 100,        <Channel name: kaicenat>,       2024-11-07 10:36:23.494381 

 markpz17,     !gamble 100,        <Channel name: kaicenat>,       2024-11-07 10:36:37.694106 

 markpz17,     !roulette all,        <Channel name: kaicenat>,       2024-11-07 10:36:49.846157 

 markpz17,     !gamble all,        <Channel name: kaicenat>,       2024-11-07 10:37:10.190345 

 markpz17,     !points,        <Channel name: kaicenat>,       2024-11-07 10:37:32.963559 

 markpz17,     !gift 100,        <Channel name: kaicenat>,       2024-11-07 10:37:44.165819 

 markpz17,     Yaaaaaaaaaaaaa hoooorn,        <Channel name: kaicenat>,       2024-11-07 10:37:54.647509 

 markpz17,     ModsM,        <Channel name: kaicenat>,       2024-11-07 10:38:03.031976 

 markpz17,     Mods commands  help horn,        <Channel name: kaicenat>,       2024-11-07 10:38:23.288644 

 markpz17,     !gamble 100,        <Channel name: kaicenat>,       2024-11-07 10:38:49.978702 

 markpz17,     !gamble all,        <Channel name: kaicenat>,       2024-11-07 10:39:07.930344 

 markpz17,     !roulette 100,        <Channel name: kaicenat>,       2024-11-07 10:39:38.903026 

 markpz17,     !gift 100,        <Channel name: kaicenat>,       2024-11-07 10:39:59.637367 

 markpz17,     !gamble 100,        <Channel name: kaicenat>,       2024-11-07 10:40:10.064543 

 markpz17,     !roulette 160,        <Channel name: kaicenat>,       2024-11-07 10:40:51.521709 

 markpz17,     !roulette 34,        <Channel name: kaicenat>,       2024-11-07 10:41:04.730846 

 markpz17,     MercyWing2 TheIlluminati MercyWing1 GoatEmotey DinoDance DinoDance DinoDance DinoDance DinoDance DinoDance,        <Channel name: kaicenat>,       2024-11-07 10:41:26.675539 

 markpz17,     Yaaaaqqqqqqqqqa,        <Channel name: kaicenat>,       2024-11-07 10:41:35.848484 

 markpz17,     Hoooóoooooorn,        <Channel name: kaicenat>,       2024-11-07 10:41:40.910118 

 markpz17,     Hooooorn,        <Channel name: kaicenat>,       2024-11-07 10:41:44.815399 

 markpz17,     !roulette all,        <Channel name: kaicenat>,       2024-11-07 10:42:06.158840 

 markpz17,     100 gift,        <Channel name: kaicenat>,       2024-11-07 10:42:47.332877 

 markpz17,     1000 gift,        <Channel name: kaicenat>,       2024-11-07 10:43:15.616434 

 markpz17,     !roulettte 509,        <Channel name: kaicenat>,       2024-11-07 10:44:35.257866 

 markpz17,     !gamble all,        <Channel name: kaicenat>,       2024-11-07 10:44:53.905455 

 markpz17,     Change  cam,        <Channel name: kaicenat>,       2024-11-07 10:45:11.776958 

 markpz17,     Rip,        <Channel name: kaicenat>,       2024-11-07 10:45:50.231693 

 markpz17,     O7,        <Channel name: kaicenat>,       2024-11-07 10:46:00.684464 

 markpz17,     Cam or  o7,        <Channel name: kaicenat>,       2024-11-07 10:46:18.644730 

 markpz17,     !gamble 500,        <Channel name: kaicenat>,       2024-11-07 10:46:56.850099 

 markpz17,     Despertien a kai,        <Channel name: kaicenat>,       2024-11-07 10:48:02.926587 

 markpz17,     Free miles jajajjajajsjjxififidijw,        <Channel name: kaicenat>,       2024-11-07 10:49:12.987235 

 markpz17,     !roulette all,        <Channel name: kaicenat>,       2024-11-07 10:52:06.687565 

 markpz17,     Jajajajjaja,        <Channel name: kaicenat>,       2024-11-07 10:52:16.437454 
