
 maverous,     600,        <Channel name: caseoh_>,       2024-11-07 01:40:30.039703 

 maverous,     GG,        <Channel name: caseoh_>,       2024-11-07 01:42:49.986297 

 maverous,     COOKED,        <Channel name: caseoh_>,       2024-11-07 01:43:48.376374 

 maverous,     FACTS,        <Channel name: caseoh_>,       2024-11-07 01:44:49.514318 

 maverous,     L  SMOKER,        <Channel name: caseoh_>,       2024-11-07 01:45:05.446140 

 maverous,     YES,        <Channel name: caseoh_>,       2024-11-07 01:45:16.953416 

 maverous,     CIGAR,        <Channel name: caseoh_>,       2024-11-07 01:46:27.242645 

 maverous,     COOKING,        <Channel name: caseoh_>,       2024-11-07 01:46:43.579580 

 maverous,     LOCK,        <Channel name: caseoh_>,       2024-11-07 01:48:19.507701 

 maverous,     SHEEEEEEEEEEETTTTT,        <Channel name: caseoh_>,       2024-11-07 01:50:30.048251 

 maverous,     BYE  BYE  POINTS,        <Channel name: caseoh_>,       2024-11-07 01:50:49.005640 
