
 mik3yybtw,     when did he go to bed last night,        <Channel name: clix>,       2024-11-07 12:13:55.660422 

 mik3yybtw,     ome5,        <Channel name: clix>,       2024-11-07 12:14:07.524372 

 mik3yybtw,     ca,        <Channel name: clix>,       2024-11-07 12:14:12.185720 

 mik3yybtw,     ta,        <Channel name: clix>,       2024-11-07 12:14:14.844771 

 mik3yybtw,     WhatTaahFuck,        <Channel name: clix>,       2024-11-07 12:14:19.950631 

 mik3yybtw,     OOOO,        <Channel name: clix>,       2024-11-07 13:04:29.711657 

 mik3yybtw,     rt,        <Channel name: clix>,       2024-11-07 13:06:07.199590 

 mik3yybtw,     Pffttt,        <Channel name: clix>,       2024-11-07 13:13:35.306854 

 mik3yybtw,     grotto,        <Channel name: clix>,       2024-11-07 13:13:57.743519 
