
 moitontahj,     yes,        <Channel name: kaicenat>,       2024-11-07 01:19:27.705989 

 moitontahj,     yes,        <Channel name: kaicenat>,       2024-11-07 01:25:01.959214 

 moitontahj,     white spots,        <Channel name: kaicenat>,       2024-11-07 01:35:18.121774 

 moitontahj,     wwwwwww,        <Channel name: kaicenat>,       2024-11-07 01:41:36.325641 

 moitontahj,     yes,        <Channel name: kaicenat>,       2024-11-07 01:43:27.902157 

 moitontahj,     yesss,        <Channel name: kaicenat>,       2024-11-07 01:44:01.322314 

 moitontahj,     fine,        <Channel name: kaicenat>,       2024-11-07 01:44:04.262139 

 moitontahj,     wwwwwwwwww,        <Channel name: kaicenat>,       2024-11-07 01:44:40.872772 

 moitontahj,     w,        <Channel name: kaicenat>,       2024-11-07 01:53:51.782451 

 moitontahj,     w Kai,        <Channel name: kaicenat>,       2024-11-07 02:00:23.592922 

 moitontahj,     kaicFireMGM kaicFireMGM kaicFireMGM kaicFireMGM kaicFireMGM,        <Channel name: kaicenat>,       2024-11-07 02:05:04.939756 

 moitontahj,     wwwwwww,        <Channel name: kaicenat>,       2024-11-07 02:10:50.259557 

 moitontahj,     fax,        <Channel name: kaicenat>,       2024-11-07 02:24:31.665733 

 moitontahj,     no,        <Channel name: kaicenat>,       2024-11-07 02:24:52.517111 

 moitontahj,     wwwwwww,        <Channel name: kaicenat>,       2024-11-07 02:25:09.285290 

 moitontahj,     w mafia,        <Channel name: kaicenat>,       2024-11-07 02:37:26.235804 

 moitontahj,     that’s not ayooo,        <Channel name: kaicenat>,       2024-11-07 02:42:04.986357 
