
 monkey14869,     what’s up miles,        <Channel name: kaicenat>,       2024-11-07 11:12:41.074593 

 monkey14869,     snore,        <Channel name: kaicenat>,       2024-11-07 11:15:41.184849 

 monkey14869,     kaicNaenae kaicNaenae kaicNaenae,        <Channel name: kaicenat>,       2024-11-07 11:16:41.728798 

 monkey14869,     wwwwww,        <Channel name: kaicenat>,       2024-11-07 11:16:46.459239 

 monkey14869,     kaicWAVE,        <Channel name: kaicenat>,       2024-11-07 11:17:25.806199 

 monkey14869,     kaicGimmiegold kaicGimmiegold,        <Channel name: kaicenat>,       2024-11-07 11:18:33.754235 

 monkey14869,     loud,        <Channel name: kaicenat>,       2024-11-07 11:19:56.242841 

 monkey14869,     PogChamp,        <Channel name: kaicenat>,       2024-11-07 11:24:07.730063 

 monkey14869,     W,        <Channel name: kaicenat>,       2024-11-07 11:25:25.004767 

 monkey14869,     whoever gifted me a sub thank you,        <Channel name: kaicenat>,       2024-11-07 11:26:06.293153 

 monkey14869,     ayy he up,        <Channel name: kaicenat>,       2024-11-07 11:27:22.528813 

 monkey14869,     no way,        <Channel name: kaicenat>,       2024-11-07 11:29:01.778152 

 monkey14869,     WWWW,        <Channel name: kaicenat>,       2024-11-07 11:30:00.606616 
