
 ne4ett,     yooo,        <Channel name: kaicenat>,       2024-11-07 11:45:30.092464 

 ne4ett,     VIP @shadowkekw VIP @shadowkekw VIP @shadowkekw VIP @shadowkekw VIP @shadowkekw VIP @shadowkekw VIP @shadowkekw VIP @shadowkekw VIP @shadowkekw VIP @shadowkekw VIP @shadowkekw,        <Channel name: kaicenat>,       2024-11-07 11:48:17.320855 

 ne4ett,     VIP @shadowkekw VIP @shadowkekw VIP @shadowkekw VIP @shadowkekw VIP @shadowkekw VIP @shadowkekw VIP @shadowkekw VIP @shadowkekw VIP,        <Channel name: kaicenat>,       2024-11-07 11:48:31.643107 

 ne4ett,     VIP @shadowkekw VIP @shadowkekw VIP @shadowkekw VIP @shadowkekw VIP @shadowkekw VIP @shadowkekw VIP @shadowkekw VIP @shadowkekw VIP @shadowkekw VIP,        <Channel name: kaicenat>,       2024-11-07 11:48:48.417795 
ne4ett,     AHAHAHAH WTF,        <Channel name: kaicenat>,       2024-11-07 16:38:36.816410 
ne4ett,     BNNNNNOOOOOO,        <Channel name: kaicenat>,       2024-11-07 16:40:27.037118 
ne4ett,     IDIOT,        <Channel name: kaicenat>,       2024-11-07 16:40:48.070863 
ne4ett,     KAI NOOO,        <Channel name: kaicenat>,       2024-11-07 16:40:54.589536 
ne4ett,     WWW,        <Channel name: kaicenat>,       2024-11-07 16:46:37.219393 
ne4ett,     TIK TOK,        <Channel name: kaicenat>,       2024-11-07 16:47:56.463183 
ne4ett,     POOLL,        <Channel name: kaicenat>,       2024-11-07 16:56:07.628049 
