
 nigahtheexplorer,     pregnant,        <Channel name: kaicenat>,       2024-11-07 02:11:13.859596 

 nigahtheexplorer,     clip farming,        <Channel name: kaicenat>,       2024-11-07 02:21:05.650680 

 nigahtheexplorer,     !gamble 300,        <Channel name: kaicenat>,       2024-11-07 09:00:54.394548 

 nigahtheexplorer,     @tauntscott whats his tiktok?,        <Channel name: kaicenat>,       2024-11-07 09:04:45.875569 

 nigahtheexplorer,     yoooo,        <Channel name: kaicenat>,       2024-11-07 09:52:26.242417 

 nigahtheexplorer,     !watchtime,        <Channel name: kaicenat>,       2024-11-07 09:53:59.942651 

 nigahtheexplorer,     !watchtimeuu,        <Channel name: kaicenat>,       2024-11-07 09:55:04.149719 

 nigahtheexplorer,     !watchtime,        <Channel name: kaicenat>,       2024-11-07 09:55:06.597021 

 nigahtheexplorer,     W TRANSITION,        <Channel name: kaicenat>,       2024-11-07 09:56:29.895416 

 nigahtheexplorer,     where can i sub for kai?,        <Channel name: kaicenat>,       2024-11-07 10:00:00.981796 

 nigahtheexplorer,     @amb807 ok,        <Channel name: kaicenat>,       2024-11-07 10:02:37.766156 

 nigahtheexplorer,     !gamble 200,        <Channel name: kaicenat>,       2024-11-07 10:03:08.202663 

 nigahtheexplorer,     ewww,        <Channel name: kaicenat>,       2024-11-07 10:09:49.049125 

 nigahtheexplorer,     ew,        <Channel name: kaicenat>,       2024-11-07 10:10:00.434086 

 nigahtheexplorer,     ewwww,        <Channel name: kaicenat>,       2024-11-07 10:10:01.786894 

 nigahtheexplorer,     ewwwwwwwwwwwww,        <Channel name: kaicenat>,       2024-11-07 10:10:02.977279 

 nigahtheexplorer,     kaicFireMGM kaicFireMGM kaicFireMGM kaicFireMGM kaicFireMGM kaicFireMGM,        <Channel name: kaicenat>,       2024-11-07 10:16:50.079037 

 nigahtheexplorer,     ImTyping ImTyping ImTyping ImTyping,        <Channel name: kaicenat>,       2024-11-07 10:17:42.371442 

 nigahtheexplorer,     gift 50 please,        <Channel name: kaicenat>,       2024-11-07 10:19:40.940369 

 nigahtheexplorer,     !watchtime,        <Channel name: kaicenat>,       2024-11-07 10:27:51.105968 

 nigahtheexplorer,     shadowewwwwww,        <Channel name: kaicenat>,       2024-11-07 11:26:41.069005 

 nigahtheexplorer,     shadowwwwww,        <Channel name: kaicenat>,       2024-11-07 11:29:09.616794 

 nigahtheexplorer,     800 more,        <Channel name: kaicenat>,       2024-11-07 11:34:49.151195 

 nigahtheexplorer,     shadowwwwww,        <Channel name: kaicenat>,       2024-11-07 11:38:12.642368 
