
 no1rov,     +,        <Channel name: shadowkekw>,       2024-11-07 09:00:34.486855 

 no1rov,     38,        <Channel name: shadowkekw>,       2024-11-07 09:03:24.808410 

 no1rov,     +,        <Channel name: shadowkekw>,       2024-11-07 09:06:35.725680 

 no1rov,     WW,        <Channel name: shadowkekw>,       2024-11-07 09:09:04.661294 

 no1rov,     G{G{FW{AFW{A{FW,        <Channel name: shadowkekw>,       2024-11-07 09:11:32.038568 

 no1rov,     )),        <Channel name: shadowkekw>,       2024-11-07 10:21:48.140790 

 no1rov,     SWEDEN,        <Channel name: shadowkekw>,       2024-11-07 10:33:58.067421 

 no1rov,     Jebaited,        <Channel name: shadowkekw>,       2024-11-07 10:36:34.430308 

 no1rov,     usa,        <Channel name: shadowkekw>,       2024-11-07 10:39:46.267835 

 no1rov,     sweden,        <Channel name: shadowkekw>,       2024-11-07 10:51:10.318461 

 no1rov,     dominican republic,        <Channel name: shadowkekw>,       2024-11-07 10:51:43.093983 

 no1rov,     Vietnam,        <Channel name: shadowkekw>,       2024-11-07 10:52:00.989164 

 no1rov,     mexico,        <Channel name: shadowkekw>,       2024-11-07 10:54:08.994797 

 no1rov,     poland,        <Channel name: shadowkekw>,       2024-11-07 10:56:21.294382 

 no1rov,     chad,        <Channel name: shadowkekw>,       2024-11-07 10:57:22.341863 

 no1rov,     poland,        <Channel name: shadowkekw>,       2024-11-07 10:58:31.626902 

 no1rov,     usa,        <Channel name: shadowkekw>,       2024-11-07 10:59:24.161486 

 no1rov,     dominican republic,        <Channel name: shadowkekw>,       2024-11-07 11:01:42.337468 

 no1rov,     taiwan,        <Channel name: shadowkekw>,       2024-11-07 11:05:07.792888 

 no1rov,     usa,        <Channel name: shadowkekw>,       2024-11-07 11:07:28.436458 

 no1rov,     dominican republic,        <Channel name: shadowkekw>,       2024-11-07 11:08:13.751195 

 no1rov,     taiwan,        <Channel name: shadowkekw>,       2024-11-07 11:08:51.695419 

 no1rov,     chad,        <Channel name: shadowkekw>,       2024-11-07 11:09:03.451331 

 no1rov,     peru,        <Channel name: shadowkekw>,       2024-11-07 11:09:17.113947 

 no1rov,     argentina,        <Channel name: shadowkekw>,       2024-11-07 11:09:28.016628 

 no1rov,     mexico,        <Channel name: shadowkekw>,       2024-11-07 11:10:11.983746 

 no1rov,     sweden,        <Channel name: shadowkekw>,       2024-11-07 11:10:33.816084 

 no1rov,     usa,        <Channel name: shadowkekw>,       2024-11-07 11:12:10.676740 

 no1rov,     taiwan,        <Channel name: shadowkekw>,       2024-11-07 11:12:50.902612 

 no1rov,     cuba,        <Channel name: shadowkekw>,       2024-11-07 11:13:14.035051 

 no1rov,     chad,        <Channel name: shadowkekw>,       2024-11-07 11:14:14.837248 

 no1rov,     +,        <Channel name: shadowkekw>,       2024-11-07 11:17:40.065450 

 no1rov,     ?,        <Channel name: shadowkekw>,       2024-11-07 11:18:08.362173 

 no1rov,     INSIDER,        <Channel name: shadowkekw>,       2024-11-07 11:33:37.128498 

 no1rov,     )),        <Channel name: shadowkekw>,       2024-11-07 11:37:49.212643 

 no1rov,     )),        <Channel name: shadowkekw>,       2024-11-07 11:38:35.611154 

 no1rov,     WW,        <Channel name: shadowkekw>,       2024-11-07 11:38:56.940611 

 no1rov,     WW WW WW,        <Channel name: shadowkekw>,       2024-11-07 11:38:58.742296 

 no1rov,     ho,        <Channel name: shadowkekw>,       2024-11-07 11:39:38.240081 

 no1rov,     oh,        <Channel name: shadowkekw>,       2024-11-07 11:39:39.367953 

 no1rov,     ?????????,        <Channel name: shadowkekw>,       2024-11-07 11:40:57.461397 

 no1rov,     )),        <Channel name: shadowkekw>,       2024-11-07 11:42:10.016162 

 no1rov,     ??????,        <Channel name: shadowkekw>,       2024-11-07 11:43:24.064339 

 no1rov,     ???????????????,        <Channel name: shadowkekw>,       2024-11-07 11:46:13.432682 

 no1rov,     SKOKA,        <Channel name: shadowkekw>,       2024-11-07 11:46:43.294333 

 no1rov,     and,        <Channel name: shadowkekw>,       2024-11-07 11:49:35.947048 

 no1rov,     WW,        <Channel name: shadowkekw>,       2024-11-07 11:49:41.721079 

 no1rov,     WW WW WW,        <Channel name: shadowkekw>,       2024-11-07 11:50:05.427250 

 no1rov,     WW,        <Channel name: shadowkekw>,       2024-11-07 11:50:07.667759 

 no1rov,     )),        <Channel name: shadowkekw>,       2024-11-07 11:53:32.867053 

 no1rov,     RICHARD MILLIE,        <Channel name: shadowkekw>,       2024-11-07 12:21:25.588950 

 no1rov,     +++++,        <Channel name: shadowkekw>,       2024-11-07 12:40:28.751577 

 no1rov,     )),        <Channel name: shadowkekw>,       2024-11-07 12:45:12.388156 

 no1rov,     )) )),        <Channel name: shadowkekw>,       2024-11-07 12:46:14.299868 
