
 nobodygonnna,     NOOOOOOOOOOOOOOOOO,        <Channel name: kaicenat>,       2024-11-07 01:22:39.506092 

 nobodygonnna,     SHOW US THE BACK OF THE WHEEL,        <Channel name: kaicenat>,       2024-11-07 01:23:02.143360 

 nobodygonnna,     SURE,        <Channel name: kaicenat>,       2024-11-07 01:23:16.780962 

 nobodygonnna,     SOIN,        <Channel name: kaicenat>,       2024-11-07 01:24:29.734227 

 nobodygonnna,     SPIN,        <Channel name: kaicenat>,       2024-11-07 01:24:35.127546 

 nobodygonnna,     SHOW US THE BACK,        <Channel name: kaicenat>,       2024-11-07 01:32:11.971684 

 nobodygonnna,     WE GOOD,        <Channel name: kaicenat>,       2024-11-07 01:35:52.434696 

 nobodygonnna,     WHY WERE THOSE THERE?,        <Channel name: kaicenat>,       2024-11-07 01:36:08.894535 

 nobodygonnna,     MOST PUSH UP DONE IN 1 MIN IS 84,        <Channel name: kaicenat>,       2024-11-07 01:52:40.808658 

 nobodygonnna,     WE GOOD NIGGA,        <Channel name: kaicenat>,       2024-11-07 01:56:38.537829 

 nobodygonnna,     WORLD RECORD IS 84 PUSH UP IN 1 MIN,        <Channel name: kaicenat>,       2024-11-07 01:57:45.130160 

 nobodygonnna,     THOSE DONT COUNT,        <Channel name: kaicenat>,       2024-11-07 02:04:08.424607 

 nobodygonnna,     69 GOD,        <Channel name: kaicenat>,       2024-11-07 02:04:34.994946 

 nobodygonnna,     DONT LEAK,        <Channel name: kaicenat>,       2024-11-07 02:16:38.621430 

 nobodygonnna,     DEFLECTING,        <Channel name: kaicenat>,       2024-11-07 02:36:23.320800 

 nobodygonnna,     @gg420og_ GGS,        <Channel name: kaicenat>,       2024-11-07 02:52:42.407531 

 nobodygonnna,     GGGS,        <Channel name: kaicenat>,       2024-11-07 02:53:38.293644 
