
 notlikeremyy,     kai js take ads away,        <Channel name: kaicenat>,       2024-11-07 02:50:30.021441 

 notlikeremyy,     gimme sub,        <Channel name: kaicenat>,       2024-11-07 02:50:37.549311 

 notlikeremyy,     i’m tryna hear bout kim n i got ads,        <Channel name: kaicenat>,       2024-11-07 02:51:07.694093 

 notlikeremyy,     kai wtf,        <Channel name: kaicenat>,       2024-11-07 02:51:11.785786 

 notlikeremyy,     kai adssssss,        <Channel name: kaicenat>,       2024-11-07 02:51:17.343601 

 notlikeremyy,     adsssssssssssss,        <Channel name: kaicenat>,       2024-11-07 02:51:22.145426 

 notlikeremyy,     oh my god,        <Channel name: kaicenat>,       2024-11-07 02:51:25.433761 

 notlikeremyy,     ads gon make me kms,        <Channel name: kaicenat>,       2024-11-07 02:51:33.007050 

 notlikeremyy,     yoooooooooo how many adsssss brooooooooi,        <Channel name: kaicenat>,       2024-11-07 02:51:46.817355 

 notlikeremyy,     dis not cool,        <Channel name: kaicenat>,       2024-11-07 02:51:50.795740 
