
 nycpotatoes,     Wait,        <Channel name: kaicenat>,       2024-11-07 01:20:38.323145 

 nycpotatoes,     Where will it land,        <Channel name: kaicenat>,       2024-11-07 01:21:54.603619 

 nycpotatoes,     Ghost,        <Channel name: kaicenat>,       2024-11-07 01:22:13.984522 

 nycpotatoes,     Deal,        <Channel name: kaicenat>,       2024-11-07 01:23:13.068993 

 nycpotatoes,     PotFriend,        <Channel name: kaicenat>,       2024-11-07 01:43:11.093618 

 nycpotatoes,     FortHype,        <Channel name: kaicenat>,       2024-11-07 01:52:09.347733 

 nycpotatoes,     PotFriend,        <Channel name: kaicenat>,       2024-11-07 02:16:18.918999 

 nycpotatoes,     Nah nyc can't leave,        <Channel name: kaicenat>,       2024-11-07 02:25:16.822829 

 nycpotatoes,     West coast customz,        <Channel name: kaicenat>,       2024-11-07 02:32:17.609757 

 nycpotatoes,     cmonBruh,        <Channel name: kaicenat>,       2024-11-07 02:34:28.801979 

 nycpotatoes,     All cheeks,        <Channel name: kaicenat>,       2024-11-07 02:34:48.348220 

 nycpotatoes,     4real,        <Channel name: kaicenat>,       2024-11-07 02:47:09.561729 

 nycpotatoes,     That's wild,        <Channel name: kaicenat>,       2024-11-07 02:52:42.272010 

 nycpotatoes,     Gotta have common sense because alot just act b4 thinking,        <Channel name: kaicenat>,       2024-11-07 02:53:36.806852 
