
 overminders,     84,        <Channel name: kaicenat>,       2024-11-07 12:36:13.559220 

 overminders,     79,        <Channel name: kaicenat>,       2024-11-07 12:36:58.245014 

 overminders,     73,        <Channel name: kaicenat>,       2024-11-07 12:39:35.180534 

 overminders,     50,        <Channel name: kaicenat>,       2024-11-07 12:40:14.433820 

 overminders,     50 pls,        <Channel name: kaicenat>,       2024-11-07 12:41:49.839517 

 overminders,     50,        <Channel name: kaicenat>,       2024-11-07 12:44:03.242206 

 overminders,     SCAMMERR,        <Channel name: kaicenat>,       2024-11-07 12:52:20.428318 

 overminders,     SCAMMERR SCAMMERR,        <Channel name: kaicenat>,       2024-11-07 13:02:00.868525 

 overminders,     SCAMMERS,        <Channel name: kaicenat>,       2024-11-07 13:03:20.066235 
