
 pokebirchh,     q11111,        <Channel name: caseoh_>,       2024-11-07 01:39:43.937056 

 pokebirchh,     GGG,        <Channel name: caseoh_>,       2024-11-07 01:40:52.125176 

 pokebirchh,     GG,        <Channel name: caseoh_>,       2024-11-07 01:40:54.712507 

 pokebirchh,     LOCK,        <Channel name: caseoh_>,       2024-11-07 01:48:30.284655 

 pokebirchh,     LOLLLL,        <Channel name: caseoh_>,       2024-11-07 01:50:22.120252 

 pokebirchh,     WWWWWWWWW DOLORES,        <Channel name: caseoh_>,       2024-11-07 01:54:03.027021 

 pokebirchh,     WWWWW STRESM,        <Channel name: caseoh_>,       2024-11-07 01:56:46.042058 

 pokebirchh,     BYEEEEEEE GN CHATTT,        <Channel name: caseoh_>,       2024-11-07 01:58:50.656436 

 pokebirchh,     GOODNIGHT YALLLL GN,        <Channel name: caseoh_>,       2024-11-07 01:59:14.032804 

 pokebirchh,     WWWWW STREAM GN YALLL,        <Channel name: caseoh_>,       2024-11-07 01:59:32.216650 

 pokebirchh,     LOUVE U GUYSS,        <Channel name: caseoh_>,       2024-11-07 01:59:42.763449 

 pokebirchh,     LOLLLLLL,        <Channel name: caseoh_>,       2024-11-07 01:59:54.976659 

 pokebirchh,     GN YALL GOODNIGHT W. STRESM,        <Channel name: caseoh_>,       2024-11-07 02:00:20.755622 
