
 pottkopp76,     papaEI papaEI papaEI papaEI papaEI,        <Channel name: kaicenat>,       2024-11-07 01:33:13.579135 

 pottkopp76,     TAKE THE WEIGHTS,        <Channel name: kaicenat>,       2024-11-07 01:35:06.447210 

 pottkopp76,     1min,        <Channel name: kaicenat>,       2024-11-07 01:39:59.500733 

 pottkopp76,     CHALLANGE ! MIN,        <Channel name: kaicenat>,       2024-11-07 01:40:20.758267 

 pottkopp76,     KAI BITCH BOY OR KING OF STREAM 1 MIN,        <Channel name: kaicenat>,       2024-11-07 01:40:36.143738 

 pottkopp76,     KING OF STREAM OR BITCH BOY???????????????  1MIN!!!!!!!!!!!!,        <Channel name: kaicenat>,       2024-11-07 01:41:01.930035 

 pottkopp76,     KING OF STREAM OR BITCH BOY???????????????  1MIN!!!!!!!!!!!! kaicDYK kaicDYK kaicDYK kaicDYK,        <Channel name: kaicenat>,       2024-11-07 01:41:22.912398 

 pottkopp76,     KING OF STREAM OR BITCH BOY???????????????  1MIN!!!!!!!!!!!! kaicE kaicE kaicE kaicE,        <Channel name: kaicenat>,       2024-11-07 01:41:28.501073 

 pottkopp76,     KING OF STREAM OR BITCH BOY???????????????  1MIN!!!!!!!!!!!! kaicNaenae kaicNaenae kaicNaenae kaicNaenae kaicNaenae,        <Channel name: kaicenat>,       2024-11-07 01:41:36.956852 

 pottkopp76,     KING OF STREAM OR BITCH BOY???????????????  1MIN!!!!!!!!!!!!,        <Channel name: kaicenat>,       2024-11-07 01:41:39.889104 

 pottkopp76,     why you locking so sad xDDDDD,        <Channel name: kaicenat>,       2024-11-07 01:46:36.644393 

 pottkopp76,     Work on the V shape,        <Channel name: kaicenat>,       2024-11-07 02:10:37.667493 

 pottkopp76,     V shape,        <Channel name: kaicenat>,       2024-11-07 02:10:40.863182 
