
 powerhousexx,     holy hell hes back,        <Channel name: kaicenat>,       2024-11-07 11:23:13.942097 

 powerhousexx,     yo yo yo where drumme,        <Channel name: kaicenat>,       2024-11-07 11:23:16.095903 

 powerhousexx,     drummer,        <Channel name: kaicenat>,       2024-11-07 11:23:16.757724 

 powerhousexx,     @officedrummer WHERE ARE YOUUU,        <Channel name: kaicenat>,       2024-11-07 11:23:21.190474 

 powerhousexx,     OH NAH SPAMMING THAT SHIT,        <Channel name: kaicenat>,       2024-11-07 11:24:08.185073 

 powerhousexx,     hes uppp,        <Channel name: kaicenat>,       2024-11-07 11:25:29.005228 

 powerhousexx,     sadhow back w,        <Channel name: kaicenat>,       2024-11-07 11:26:21.040223 

 powerhousexx,     lmao he dippeed for the horn,        <Channel name: kaicenat>,       2024-11-07 11:26:46.062122 

 powerhousexx,     w insider,        <Channel name: kaicenat>,       2024-11-07 11:33:28.557376 

 powerhousexx,     w shadow,        <Channel name: kaicenat>,       2024-11-07 11:38:58.987183 
