
 prodigy5x,     need it,        <Channel name: kaicenat>,       2024-11-07 11:06:38.709475 

 prodigy5x,     DO THE RAWR,        <Channel name: kaicenat>,       2024-11-07 11:06:50.841856 

 prodigy5x,     LMAOOOO,        <Channel name: kaicenat>,       2024-11-07 11:07:16.887006 

 prodigy5x,     LMAOOO,        <Channel name: kaicenat>,       2024-11-07 11:07:31.028546 

 prodigy5x,     LMAOOOOOOOO,        <Channel name: kaicenat>,       2024-11-07 11:08:14.188255 

 prodigy5x,     LMAOOOOO,        <Channel name: kaicenat>,       2024-11-07 11:08:41.061784 

 prodigy5x,     CHAT WE NEED THAT EARTHQUAKE,        <Channel name: kaicenat>,       2024-11-07 11:09:41.091933 

 prodigy5x,     LUL,        <Channel name: kaicenat>,       2024-11-07 11:10:26.372012 

 prodigy5x,     NEED ANOTHER,        <Channel name: kaicenat>,       2024-11-07 11:14:28.899075 

 prodigy5x,     ANOTHER,        <Channel name: kaicenat>,       2024-11-07 11:14:35.000932 

 prodigy5x,     !GAMBLE ALL,        <Channel name: kaicenat>,       2024-11-07 11:15:59.233376 

 prodigy5x,     !ROULETTE ALL,        <Channel name: kaicenat>,       2024-11-07 11:16:18.803673 

 prodigy5x,     !roullette all,        <Channel name: kaicenat>,       2024-11-07 11:16:46.584861 

 prodigy5x,     !roulette all,        <Channel name: kaicenat>,       2024-11-07 11:16:52.455439 

 prodigy5x,     !roulette all,        <Channel name: kaicenat>,       2024-11-07 11:17:11.195350 

 prodigy5x,     !roulette all,        <Channel name: kaicenat>,       2024-11-07 11:19:27.755097 

 prodigy5x,     yes,        <Channel name: kaicenat>,       2024-11-07 11:19:30.647270 

 prodigy5x,     FREE MILES,        <Channel name: kaicenat>,       2024-11-07 11:21:33.895274 

 prodigy5x,     !roulette all,        <Channel name: kaicenat>,       2024-11-07 11:21:51.561162 

 prodigy5x,     FREE MILES,        <Channel name: kaicenat>,       2024-11-07 11:21:54.995744 

 prodigy5x,     !roulette all,        <Channel name: kaicenat>,       2024-11-07 11:22:40.246412 

 prodigy5x,     FREE MILES,        <Channel name: kaicenat>,       2024-11-07 11:22:42.991810 

 prodigy5x,     !roulette all,        <Channel name: kaicenat>,       2024-11-07 11:23:17.771992 

 prodigy5x,     wwwwwwwwwwwwwww,        <Channel name: kaicenat>,       2024-11-07 11:28:18.003169 

 prodigy5x,     WWWWWWWWWWWWWWWWWWW,        <Channel name: kaicenat>,       2024-11-07 11:28:23.684780 

 prodigy5x,     W PRODUCTION,        <Channel name: kaicenat>,       2024-11-07 11:28:27.744982 

 prodigy5x,     NEED ANOTHER TO REINFORCE IT,        <Channel name: kaicenat>,       2024-11-07 11:28:45.312617 

 prodigy5x,     WWWWWWWWWWWWWWWWWWW,        <Channel name: kaicenat>,       2024-11-07 11:28:50.077179 

 prodigy5x,     WWWWWWWWWW,        <Channel name: kaicenat>,       2024-11-07 11:28:52.223934 

 prodigy5x,     WWWWW,        <Channel name: kaicenat>,       2024-11-07 11:28:55.103363 

 prodigy5x,     WWWWWWWWWWWWW,        <Channel name: kaicenat>,       2024-11-07 11:28:58.247347 

 prodigy5x,     WWWWWWWWWWWW,        <Channel name: kaicenat>,       2024-11-07 11:29:04.118563 

 prodigy5x,     WWWW PRODUCTION,        <Channel name: kaicenat>,       2024-11-07 11:29:24.108502 

 prodigy5x,     THEY CRANKED TS,        <Channel name: kaicenat>,       2024-11-07 11:29:32.764453 

 prodigy5x,     YEAHHHHHHHHHHHHHHHHHH,        <Channel name: kaicenat>,       2024-11-07 11:29:52.971832 

 prodigy5x,     WWWWWWWWWWWWWWW,        <Channel name: kaicenat>,       2024-11-07 11:29:56.981108 

 prodigy5x,     WWWWWWWWWWWWWWWWW,        <Channel name: kaicenat>,       2024-11-07 11:29:58.871981 

 prodigy5x,     WWWWWWWWWW,        <Channel name: kaicenat>,       2024-11-07 11:31:17.555709 

 prodigy5x,     ew,        <Channel name: kaicenat>,       2024-11-07 11:45:48.560952 

 prodigy5x,     can he stop lmao,        <Channel name: kaicenat>,       2024-11-07 11:46:54.027754 

 prodigy5x,     HOW HE NOT UP,        <Channel name: kaicenat>,       2024-11-07 11:47:20.874593 
