
 q0rze,     u just did it too,        <Channel name: lacy>,       2024-11-07 12:38:07.181362 

 q0rze,     TAWAY,        <Channel name: lacy>,       2024-11-07 12:38:28.912761 

 q0rze,     WhatTaFuck,        <Channel name: lacy>,       2024-11-07 12:39:10.445955 

 q0rze,     he is,        <Channel name: lacy>,       2024-11-07 12:39:54.913096 

 q0rze,     he discovered it,        <Channel name: lacy>,       2024-11-07 12:40:05.984148 

 q0rze,     EWWW,        <Channel name: lacy>,       2024-11-07 12:40:44.326341 

 q0rze,     Ugly as hell,        <Channel name: lacy>,       2024-11-07 12:41:04.594290 

 q0rze,     leaving,        <Channel name: lacy>,       2024-11-07 12:48:48.130561 

 q0rze,     bye bye bye,        <Channel name: lacy>,       2024-11-07 12:48:58.168082 

 q0rze,     left,        <Channel name: lacy>,       2024-11-07 12:49:07.388273 

 q0rze,     bye,        <Channel name: lacy>,       2024-11-07 12:49:43.614411 

 q0rze,     Piece,        <Channel name: lacy>,       2024-11-07 12:50:04.774575 

 q0rze,     dont care bye,        <Channel name: lacy>,       2024-11-07 12:50:46.627835 

 q0rze,     …..,        <Channel name: lacy>,       2024-11-07 12:51:38.505406 

 q0rze,     uuh,        <Channel name: lacy>,       2024-11-07 12:52:19.267844 

 q0rze,     bye,        <Channel name: lacy>,       2024-11-07 12:52:49.601596 

 q0rze,     WWWWW,        <Channel name: lacy>,       2024-11-07 12:53:18.546524 

 q0rze,     u wearing a bikini too?,        <Channel name: lacy>,       2024-11-07 13:02:34.364072 

 q0rze,     Leggings,        <Channel name: lacy>,       2024-11-07 13:02:53.812469 

 q0rze,     in a bikini,        <Channel name: lacy>,       2024-11-07 13:03:27.851096 
