
 rexig8,     dam,        <Channel name: faxuty>,       2024-11-07 01:46:07.051838 

 rexig8,     DarkKnight DarkKnight,        <Channel name: faxuty>,       2024-11-07 01:46:29.939461 

 rexig8,     “ you shouldn’t talk about anyone’s parents” don’t you make mom jokes,        <Channel name: faxuty>,       2024-11-07 02:14:05.709066 

 rexig8,     thst is not a Fortnite plauer,        <Channel name: faxuty>,       2024-11-07 02:31:55.804887 

 rexig8,     4k,        <Channel name: faxuty>,       2024-11-07 02:34:38.613046 

 rexig8,     you make more,        <Channel name: faxuty>,       2024-11-07 02:36:22.349819 

 rexig8,     faxuty what’s harder a 9-5 or streaming,        <Channel name: faxuty>,       2024-11-07 02:38:22.630128 

 rexig8,     sway,        <Channel name: faxuty>,       2024-11-07 02:39:45.046536 

 rexig8,     swayy,        <Channel name: faxuty>,       2024-11-07 02:39:54.740598 

 rexig8,     he runs max adds,        <Channel name: faxuty>,       2024-11-07 02:40:11.157973 

 rexig8,     do you have more money then reet,        <Channel name: faxuty>,       2024-11-07 02:41:58.963839 
