
 rqinbows,     wsg ricci ! wsg chat !,        <Channel name: ricci>,       2024-11-07 02:12:46.641525 

 rqinbows,     @Thanuhtos just got back from a concert ! hbu ?,        <Channel name: ricci>,       2024-11-07 02:17:17.930381 

 rqinbows,     W GIFTEDD,        <Channel name: ricci>,       2024-11-07 02:17:20.355212 

 rqinbows,     @Thanuhtos no someone else,        <Channel name: ricci>,       2024-11-07 02:17:50.986154 

 rqinbows,     @Thanuhtos at least we'll get like an hour or two of content,        <Channel name: ricci>,       2024-11-07 02:31:21.278966 

 rqinbows,     ricci what do u think ab my idea ?,        <Channel name: ricci>,       2024-11-07 02:31:50.392030 

 rqinbows,     you and jynxzi do ranked but one aims and the other moves,        <Channel name: ricci>,       2024-11-07 02:33:03.077151 

 rqinbows,     @Thanuhtos im dead,        <Channel name: ricci>,       2024-11-07 02:34:27.454894 

 rqinbows,     its like speed w green apples,        <Channel name: ricci>,       2024-11-07 02:35:21.569832 

 rqinbows,     hm ok,        <Channel name: ricci>,       2024-11-07 02:36:23.869424 

 rqinbows,     gn @bunnylebowski !,        <Channel name: ricci>,       2024-11-07 02:36:44.958353 

 rqinbows,     heads or tails . this will determine if i go to eng,        <Channel name: ricci>,       2024-11-07 02:37:50.227114 

 rqinbows,     i got tails riccifDANCING riccifDANCING riccifDANCING,        <Channel name: ricci>,       2024-11-07 02:38:35.087765 

 rqinbows,     tails means im staying home,        <Channel name: ricci>,       2024-11-07 02:39:07.902709 

 rqinbows,     ppl hate for no reason.,        <Channel name: ricci>,       2024-11-07 02:40:42.208672 

 rqinbows,     @Thanuhtos facts,        <Channel name: ricci>,       2024-11-07 02:42:20.905035 

 rqinbows,     yea yall are pretty cool lol,        <Channel name: ricci>,       2024-11-07 02:42:55.220298 

 rqinbows,     her body is tea,        <Channel name: ricci>,       2024-11-07 02:43:28.441595 

 rqinbows,     ricci dont want smoke he knows not to chall me. kaicDubs,        <Channel name: ricci>,       2024-11-07 02:46:46.379673 

 rqinbows,     w gifted !,        <Channel name: ricci>,       2024-11-07 02:47:45.760874 

 rqinbows,     @Thanuhtos you wont be disappointed,        <Channel name: ricci>,       2024-11-07 02:48:08.692653 

 rqinbows,     ww,        <Channel name: ricci>,       2024-11-07 02:49:53.027050 

 rqinbows,     WW,        <Channel name: ricci>,       2024-11-07 02:49:59.333982 

 rqinbows,     oh yea i was near little caesars hq today . i convinced them to let ricci run his own store,        <Channel name: ricci>,       2024-11-07 02:51:57.675120 

 rqinbows,     @Thanuhtos now he has four. bro is really going places,        <Channel name: ricci>,       2024-11-07 02:52:47.862217 

 rqinbows,     @Opponents_ just tryna help a bro further his pizza making career,        <Channel name: ricci>,       2024-11-07 02:53:27.251731 
