
 sanestw,     weighted,        <Channel name: kaicenat>,       2024-11-07 01:33:03.266636 

 sanestw,     bro it spin back,        <Channel name: kaicenat>,       2024-11-07 01:35:41.380746 

 sanestw,     WW 225k,        <Channel name: kaicenat>,       2024-11-07 01:41:35.659887 

 sanestw,     LOL,        <Channel name: kaicenat>,       2024-11-07 09:29:43.462897 

 sanestw,     EWWW,        <Channel name: kaicenat>,       2024-11-07 09:43:30.868267 

 sanestw,     LMAOOOOOOO,        <Channel name: kaicenat>,       2024-11-07 09:43:34.454167 

 sanestw,     ??,        <Channel name: kaicenat>,       2024-11-07 09:52:22.831998 

 sanestw,     CAM?,        <Channel name: kaicenat>,       2024-11-07 10:42:25.019640 

 sanestw,     WW,        <Channel name: kaicenat>,       2024-11-07 11:31:44.150278 

 sanestw,     gg,        <Channel name: kaicenat>,       2024-11-07 13:06:46.614137 

 sanestw,     CAUGHT,        <Channel name: kaicenat>,       2024-11-07 13:26:38.186458 

 sanestw,     NOOO,        <Channel name: kaicenat>,       2024-11-07 13:29:37.514504 

 sanestw,     WW 230k,        <Channel name: kaicenat>,       2024-11-07 13:33:00.073978 
