
 serhat_e23,     read the pinned tweet,        <Channel name: lacy>,       2024-11-07 11:40:57.854447 

 serhat_e23,     VISCA BARCASAA,        <Channel name: lacy>,       2024-11-07 12:25:15.195914 

 serhat_e23,     TAWAY,        <Channel name: lacy>,       2024-11-07 12:26:27.496085 

 serhat_e23,     bro wtf,        <Channel name: lacy>,       2024-11-07 12:27:32.373948 

 serhat_e23,     bro throw that shit away,        <Channel name: lacy>,       2024-11-07 12:27:49.724337 

 serhat_e23,     Pffttt,        <Channel name: lacy>,       2024-11-07 12:28:40.698317 

 serhat_e23,     NOWAY,        <Channel name: lacy>,       2024-11-07 12:31:47.723297 

 serhat_e23,     no,        <Channel name: lacy>,       2024-11-07 12:45:35.216338 

 serhat_e23,     NOWAY,        <Channel name: lacy>,       2024-11-07 12:51:17.762521 

 serhat_e23,     classic,        <Channel name: lacy>,       2024-11-07 12:54:25.051700 

 serhat_e23,     NOWAY,        <Channel name: lacy>,       2024-11-07 12:55:36.746874 

 serhat_e23,     bro got one guyed,        <Channel name: lacy>,       2024-11-07 12:56:37.907754 

 serhat_e23,     1 guyed,        <Channel name: lacy>,       2024-11-07 12:56:46.327017 

 serhat_e23,     classic,        <Channel name: lacy>,       2024-11-07 12:58:38.497468 

 serhat_e23,     Yoxic get this one,        <Channel name: lacy>,       2024-11-07 12:58:57.364865 

 serhat_e23,     NOWAY,        <Channel name: lacy>,       2024-11-07 12:59:14.339176 

 serhat_e23,     ok bro,        <Channel name: lacy>,       2024-11-07 13:01:14.243485 

 serhat_e23,     so you too ?,        <Channel name: lacy>,       2024-11-07 13:01:42.749618 

 serhat_e23,     Green pants,        <Channel name: lacy>,       2024-11-07 13:02:23.674953 

 serhat_e23,     Grey leggings,        <Channel name: lacy>,       2024-11-07 13:03:16.002184 

 serhat_e23,     damnnnn#,        <Channel name: lacy>,       2024-11-07 13:04:38.482421 

 serhat_e23,     Smooth with it,        <Channel name: lacy>,       2024-11-07 13:04:53.743819 

 serhat_e23,     tat was game,        <Channel name: lacy>,       2024-11-07 13:05:43.426494 

 serhat_e23,     you go up lacy,        <Channel name: lacy>,       2024-11-07 13:08:29.082533 

 serhat_e23,     its good,        <Channel name: lacy>,       2024-11-07 13:12:23.763082 

 serhat_e23,     its fine,        <Channel name: lacy>,       2024-11-07 13:12:33.547247 

 serhat_e23,     its better now,        <Channel name: lacy>,       2024-11-07 13:12:52.099539 

 serhat_e23,     its good now,        <Channel name: lacy>,       2024-11-07 13:12:58.680269 

 serhat_e23,     bro we good,        <Channel name: lacy>,       2024-11-07 13:14:33.781370 

 serhat_e23,     Bro dont worry the stream is good,        <Channel name: lacy>,       2024-11-07 13:14:48.934351 

 serhat_e23,     yes,        <Channel name: lacy>,       2024-11-07 13:17:15.419844 

 serhat_e23,     bro we were good the whole time,        <Channel name: lacy>,       2024-11-07 13:17:36.013235 

 serhat_e23,     its just sometimes,        <Channel name: lacy>,       2024-11-07 13:20:07.020821 

 serhat_e23,     its good again,        <Channel name: lacy>,       2024-11-07 13:20:24.053988 

 serhat_e23,     chat dont always say f if its just for 3 seconds,        <Channel name: lacy>,       2024-11-07 13:25:30.251358 

 serhat_e23,     guys chill with the f spam,        <Channel name: lacy>,       2024-11-07 13:31:36.002533 

 serhat_e23,     why dont they use the backpack ?,        <Channel name: lacy>,       2024-11-07 13:33:32.082654 

 serhat_e23,     Drew get the fucking wifi,        <Channel name: lacy>,       2024-11-07 13:34:03.206795 

 serhat_e23,     Drew you film from down here,        <Channel name: lacy>,       2024-11-07 13:36:34.761933 
