
 shinq1337,     ru,        <Channel name: shadowkekw>,       2024-11-07 10:09:42.279967 

 shinq1337,     usa,        <Channel name: shadowkekw>,       2024-11-07 10:10:07.098494 

 shinq1337,     ua,        <Channel name: shadowkekw>,       2024-11-07 10:10:13.106249 

 shinq1337,     ru,        <Channel name: shadowkekw>,       2024-11-07 10:10:30.156178 

 shinq1337,     ua,        <Channel name: shadowkekw>,       2024-11-07 10:10:32.197337 

 shinq1337,     japan,        <Channel name: shadowkekw>,       2024-11-07 10:10:40.957505 

 shinq1337,     russia,        <Channel name: shadowkekw>,       2024-11-07 10:10:53.784933 

 shinq1337,     japan,        <Channel name: shadowkekw>,       2024-11-07 10:11:14.285085 

 shinq1337,     usa,        <Channel name: shadowkekw>,       2024-11-07 10:11:26.543671 
