
 skiterdaria,     Russia,        <Channel name: shadowkekw>,       2024-11-07 10:49:56.329435 

 skiterdaria,     Slovenia,        <Channel name: shadowkekw>,       2024-11-07 10:55:00.869609 

 skiterdaria,     Sweden,        <Channel name: shadowkekw>,       2024-11-07 10:55:57.436407 

 skiterdaria,     Denmark,        <Channel name: shadowkekw>,       2024-11-07 10:57:11.351465 

 skiterdaria,     Asia,        <Channel name: shadowkekw>,       2024-11-07 10:57:52.371010 

 skiterdaria,     Sweden,        <Channel name: shadowkekw>,       2024-11-07 10:58:28.459259 

 skiterdaria,     Thailand,        <Channel name: shadowkekw>,       2024-11-07 10:59:12.643286 

 skiterdaria,     Sweden,        <Channel name: shadowkekw>,       2024-11-07 10:59:46.255881 

 skiterdaria,     Sweden,        <Channel name: shadowkekw>,       2024-11-07 11:00:30.812965 

 skiterdaria,     SWEDEN,        <Channel name: shadowkekw>,       2024-11-07 11:01:15.027042 

 skiterdaria,     Sweden,        <Channel name: shadowkekw>,       2024-11-07 11:01:35.301899 

 skiterdaria,     Russia,        <Channel name: shadowkekw>,       2024-11-07 11:02:34.675838 

 skiterdaria,     Thailand,        <Channel name: shadowkekw>,       2024-11-07 11:03:41.806638 

 skiterdaria,     Russia,        <Channel name: shadowkekw>,       2024-11-07 11:05:12.342778 

 skiterdaria,     Ireland,        <Channel name: shadowkekw>,       2024-11-07 11:05:27.234847 

 skiterdaria,     Sweden,        <Channel name: shadowkekw>,       2024-11-07 11:05:54.752977 

 skiterdaria,     Kenya,        <Channel name: shadowkekw>,       2024-11-07 11:09:27.694468 
