
 slytherryn,     lmao,        <Channel name: faxuty>,       2024-11-07 01:48:05.582772 

 slytherryn,     yea cunt,        <Channel name: faxuty>,       2024-11-07 01:49:51.058133 

 slytherryn,     !discord,        <Channel name: faxuty>,       2024-11-07 01:51:54.744173 

 slytherryn,     ohhhhh,        <Channel name: faxuty>,       2024-11-07 01:52:35.496251 

 slytherryn,     thats a waist of money,        <Channel name: faxuty>,       2024-11-07 01:56:10.125573 

 slytherryn,     @3kites smart ass,        <Channel name: faxuty>,       2024-11-07 01:58:19.895878 

 slytherryn,     bucke parents failed at parenting,        <Channel name: faxuty>,       2024-11-07 02:00:03.855437 

 slytherryn,     bucke does coke,        <Channel name: faxuty>,       2024-11-07 02:01:17.545573 

 slytherryn,     bucke crackhead,        <Channel name: faxuty>,       2024-11-07 02:02:14.770525 

 slytherryn,     bucke confirmed cokehead,        <Channel name: faxuty>,       2024-11-07 02:04:58.528358 

 slytherryn,     bucke a crackhead,        <Channel name: faxuty>,       2024-11-07 02:07:15.375520 
