
 sotfox103,     jason tweaking like yak rn sodaisFish,        <Channel name: plaqueboymax>,       2024-11-07 01:56:03.436446 

 sotfox103,     yuhhhhhh w adapt,        <Channel name: plaqueboymax>,       2024-11-07 01:56:40.425349 

 sotfox103,     w hit,        <Channel name: plaqueboymax>,       2024-11-07 01:56:51.916750 

 sotfox103,     WWWWWWWWWWW,        <Channel name: plaqueboymax>,       2024-11-07 01:58:33.226381 

 sotfox103,     RNB,        <Channel name: plaqueboymax>,       2024-11-07 01:59:43.686852 

 sotfox103,     RNBBBB,        <Channel name: plaqueboymax>,       2024-11-07 01:59:47.612376 

 sotfox103,     RNB,        <Channel name: plaqueboymax>,       2024-11-07 01:59:58.291304 

 sotfox103,     DROP BIG BLACK TRUCKKKK!!!!!!,        <Channel name: plaqueboymax>,       2024-11-07 02:02:57.824865 

 sotfox103,     DROP BIG BLACK TRUCK,        <Channel name: plaqueboymax>,       2024-11-07 02:03:23.614669 

 sotfox103,     DROP BIG BLACK TRUCK!!!!!!,        <Channel name: plaqueboymax>,       2024-11-07 02:03:36.741300 

 sotfox103,     AH NAHHH,        <Channel name: plaqueboymax>,       2024-11-07 02:04:30.328175 

 sotfox103,     AH NAH TWIN,        <Channel name: plaqueboymax>,       2024-11-07 02:04:36.158201 

 sotfox103,     ah nah,        <Channel name: plaqueboymax>,       2024-11-07 02:07:16.119911 

 sotfox103,     bra gay asf,        <Channel name: plaqueboymax>,       2024-11-07 02:07:20.156635 

 sotfox103,     fruity ass,        <Channel name: plaqueboymax>,       2024-11-07 02:07:28.000717 
