
 speirliner34,     9am,        <Channel name: nadeshot>,       2024-11-07 10:01:42.206539 

 speirliner34,     good morning unc,        <Channel name: nadeshot>,       2024-11-07 10:02:28.712292 

 speirliner34,     T2G,        <Channel name: nadeshot>,       2024-11-07 10:02:47.479419 

 speirliner34,     and back to sleep,        <Channel name: nadeshot>,       2024-11-07 10:03:33.824310 

 speirliner34,     good night,        <Channel name: nadeshot>,       2024-11-07 10:03:44.917073 

 speirliner34,     @hasscash97 lights are off it’s just the camera,        <Channel name: nadeshot>,       2024-11-07 10:04:28.004431 

 speirliner34,     @hasscash97 yea fr fr,        <Channel name: nadeshot>,       2024-11-07 10:05:01.893576 

 speirliner34,     !pet,        <Channel name: nadeshot>,       2024-11-07 10:06:25.470893 

 speirliner34,     !fetch,        <Channel name: nadeshot>,       2024-11-07 10:06:46.051857 

 speirliner34,     @bretdoggz yea,        <Channel name: nadeshot>,       2024-11-07 10:07:22.258031 

 speirliner34,     !fetch,        <Channel name: nadeshot>,       2024-11-07 10:07:27.888655 

 speirliner34,     !fefch,        <Channel name: nadeshot>,       2024-11-07 10:07:51.692666 

 speirliner34,     !fetch,        <Channel name: nadeshot>,       2024-11-07 10:07:57.393404 

 speirliner34,     @nadeshotswife we’re proud of him,        <Channel name: nadeshot>,       2024-11-07 10:16:45.675561 

 speirliner34,     @frecklyairplane no he’s gonna shower first,        <Channel name: nadeshot>,       2024-11-07 10:24:31.867833 

 speirliner34,     it’s 9am for him,        <Channel name: nadeshot>,       2024-11-07 10:25:05.551974 

 speirliner34,     good morning unc,        <Channel name: nadeshot>,       2024-11-07 11:32:58.929746 

 speirliner34,     there is,        <Channel name: nadeshot>,       2024-11-07 12:00:28.720463 

 speirliner34,     STF,        <Channel name: nadeshot>,       2024-11-07 12:05:00.929490 

 speirliner34,     W,        <Channel name: nadeshot>,       2024-11-07 13:08:22.766824 
