
 spyder5280,     MILES,        <Channel name: kaicenat>,       2024-11-07 09:24:11.529641 

 spyder5280,     MILES,        <Channel name: kaicenat>,       2024-11-07 09:26:32.976698 

 spyder5280,     Wow is that a galaxy! Enough of that and I might make it back to my own universe-! SCHIZO,        <Channel name: kaicenat>,       2024-11-07 09:29:01.413048 

 spyder5280,     THOSE SNIFFA THOSE SNIFFA THOSE SNIFFA,        <Channel name: kaicenat>,       2024-11-07 09:32:38.094552 

 spyder5280,     MILES,        <Channel name: kaicenat>,       2024-11-07 10:26:41.182808 

 spyder5280,     MILES,        <Channel name: kaicenat>,       2024-11-07 13:07:51.027312 

 spyder5280,     MILES,        <Channel name: kaicenat>,       2024-11-07 13:33:14.333865 

 spyder5280,     MILES,        <Channel name: kaicenat>,       2024-11-07 13:36:17.661910 

 spyder5280,     LMAO,        <Channel name: kaicenat>,       2024-11-07 14:42:41.884152 
