
 stev0thaguy,     gm chat,        <Channel name: kaicenat>,       2024-11-07 09:15:54.112165 

 stev0thaguy,     w,        <Channel name: kaicenat>,       2024-11-07 09:29:23.657450 

 stev0thaguy,     wwww,        <Channel name: kaicenat>,       2024-11-07 09:29:31.374353 

 stev0thaguy,     W,        <Channel name: kaicenat>,       2024-11-07 09:29:33.475220 

 stev0thaguy,     W,        <Channel name: kaicenat>,       2024-11-07 09:30:03.465887 

 stev0thaguy,     WWWW,        <Channel name: kaicenat>,       2024-11-07 09:30:06.862310 

 stev0thaguy,     WWWWWW,        <Channel name: kaicenat>,       2024-11-07 09:30:08.716049 

 stev0thaguy,     W miles,        <Channel name: kaicenat>,       2024-11-07 11:09:03.940121 

 stev0thaguy,     someone gift me a sub!,        <Channel name: kaicenat>,       2024-11-07 11:17:14.945149 

 stev0thaguy,     please gift mea sub,        <Channel name: kaicenat>,       2024-11-07 11:17:27.726842 

 stev0thaguy,     gift me please,        <Channel name: kaicenat>,       2024-11-07 11:17:34.632568 

 stev0thaguy,     yooo,        <Channel name: kaicenat>,       2024-11-07 11:17:57.877890 

 stev0thaguy,     W,        <Channel name: kaicenat>,       2024-11-07 11:18:04.741911 

 stev0thaguy,     IKO,        <Channel name: kaicenat>,       2024-11-07 11:18:14.271419 

 stev0thaguy,     JJJJ,        <Channel name: kaicenat>,       2024-11-07 11:18:16.180480 

 stev0thaguy,     JJJNJN,        <Channel name: kaicenat>,       2024-11-07 11:18:18.227512 
