
 suawtw,     yes,        <Channel name: kaicenat>,       2024-11-07 01:19:14.886811 

 suawtw,     WAZZUUUPPP,        <Channel name: kaicenat>,       2024-11-07 01:23:49.249253 

 suawtw,     LMAOOO,        <Channel name: kaicenat>,       2024-11-07 01:24:03.961081 

 suawtw,     Stare,        <Channel name: kaicenat>,       2024-11-07 01:36:46.442559 

 suawtw,     WW,        <Channel name: kaicenat>,       2024-11-07 01:39:36.902261 

 suawtw,     do 30,        <Channel name: kaicenat>,       2024-11-07 01:41:01.778101 

 suawtw,     you get a whole day to them,        <Channel name: kaicenat>,       2024-11-07 01:42:05.812836 

 suawtw,     you get a whole day to complete em,        <Channel name: kaicenat>,       2024-11-07 01:42:47.201854 

 suawtw,     na 30,        <Channel name: kaicenat>,       2024-11-07 01:43:19.138204 

 suawtw,     30,        <Channel name: kaicenat>,       2024-11-07 01:43:22.292318 

 suawtw,     45,        <Channel name: kaicenat>,       2024-11-07 01:45:48.922591 

 suawtw,     45secs,        <Channel name: kaicenat>,       2024-11-07 01:45:51.504363 

 suawtw,     45s,        <Channel name: kaicenat>,       2024-11-07 01:45:54.919073 

 suawtw,     that’s lite,        <Channel name: kaicenat>,       2024-11-07 01:51:50.382283 

 suawtw,     you could really just do em rn,        <Channel name: kaicenat>,       2024-11-07 01:52:41.862665 

 suawtw,     sure,        <Channel name: kaicenat>,       2024-11-07 02:10:12.555933 

 suawtw,     it’s that time,        <Channel name: kaicenat>,       2024-11-07 02:12:13.905396 

 suawtw,     taking it back to basics,        <Channel name: kaicenat>,       2024-11-07 02:12:28.816189 

 suawtw,     LMAOOO,        <Channel name: kaicenat>,       2024-11-07 02:13:00.504782 

 suawtw,     na,        <Channel name: kaicenat>,       2024-11-07 02:13:04.685093 

 suawtw,     he’s ass,        <Channel name: kaicenat>,       2024-11-07 02:13:08.419060 

 suawtw,     but he might be better than you,        <Channel name: kaicenat>,       2024-11-07 02:13:16.635877 

 suawtw,     audio,        <Channel name: kaicenat>,       2024-11-07 02:13:42.380977 

 suawtw,     Audio,        <Channel name: kaicenat>,       2024-11-07 02:13:47.579709 

 suawtw,     good,        <Channel name: kaicenat>,       2024-11-07 02:13:54.525018 

 suawtw,     We good,        <Channel name: kaicenat>,       2024-11-07 02:13:58.277713 

 suawtw,     LMAOOO,        <Channel name: kaicenat>,       2024-11-07 02:14:17.735022 

 suawtw,     na mo wylin,        <Channel name: kaicenat>,       2024-11-07 02:14:53.841138 

 suawtw,     mo be wylin,        <Channel name: kaicenat>,       2024-11-07 02:15:04.047202 

 suawtw,     LMAOOO,        <Channel name: kaicenat>,       2024-11-07 02:15:15.898014 

 suawtw,     spark up muddy,        <Channel name: kaicenat>,       2024-11-07 02:15:31.104507 

 suawtw,     LMAOOO,        <Channel name: kaicenat>,       2024-11-07 02:17:21.219237 

 suawtw,     does he know he’s using the headset mic???,        <Channel name: kaicenat>,       2024-11-07 02:20:10.409390 

 suawtw,     dtm,        <Channel name: kaicenat>,       2024-11-07 02:21:10.693025 

 suawtw,     DTM,        <Channel name: kaicenat>,       2024-11-07 02:21:13.275077 

 suawtw,     always dtm,        <Channel name: kaicenat>,       2024-11-07 02:21:19.131248 

 suawtw,     LMAOOO,        <Channel name: kaicenat>,       2024-11-07 02:22:24.952017 

