
 sullkys,     Egypt,        <Channel name: shadowkekw>,       2024-11-07 10:07:23.793549 

 sullkys,     Portugal,        <Channel name: shadowkekw>,       2024-11-07 10:07:39.298856 

 sullkys,     Sweden,        <Channel name: shadowkekw>,       2024-11-07 10:09:58.549670 

 sullkys,     canada,        <Channel name: shadowkekw>,       2024-11-07 10:58:57.441497 

 sullkys,     Sweden,        <Channel name: shadowkekw>,       2024-11-07 10:59:35.292116 

 sullkys,     Indonesia,        <Channel name: shadowkekw>,       2024-11-07 11:00:35.959225 

 sullkys,     Indonesia,        <Channel name: shadowkekw>,       2024-11-07 11:01:08.740917 

 sullkys,     Norway,        <Channel name: shadowkekw>,       2024-11-07 11:01:32.970736 

 sullkys,     russia,        <Channel name: shadowkekw>,       2024-11-07 11:02:01.922465 

 sullkys,     peru,        <Channel name: shadowkekw>,       2024-11-07 11:02:05.930289 

 sullkys,     new Zealand,        <Channel name: shadowkekw>,       2024-11-07 11:02:25.897919 

 sullkys,     Indonesia,        <Channel name: shadowkekw>,       2024-11-07 11:02:47.706204 

 sullkys,     south Africa,        <Channel name: shadowkekw>,       2024-11-07 11:02:57.950981 

 sullkys,     Thailand,        <Channel name: shadowkekw>,       2024-11-07 11:03:25.297249 

 sullkys,     Denmark,        <Channel name: shadowkekw>,       2024-11-07 11:03:45.882438 

 sullkys,     Bangladesh,        <Channel name: shadowkekw>,       2024-11-07 11:04:11.274896 

 sullkys,     Taiwan,        <Channel name: shadowkekw>,       2024-11-07 11:04:49.558503 

 sullkys,     Uzbekistan,        <Channel name: shadowkekw>,       2024-11-07 11:05:18.632721 

 sullkys,     armenia,        <Channel name: shadowkekw>,       2024-11-07 11:05:27.557640 

 sullkys,     china,        <Channel name: shadowkekw>,       2024-11-07 11:06:22.873197 

 sullkys,     Kazakhstan,        <Channel name: shadowkekw>,       2024-11-07 11:07:34.899317 

 sullkys,     Philippines,        <Channel name: shadowkekw>,       2024-11-07 11:08:06.879882 

 sullkys,     turkey,        <Channel name: shadowkekw>,       2024-11-07 11:08:12.886138 

 sullkys,     south Africa,        <Channel name: shadowkekw>,       2024-11-07 11:08:53.566246 

 sullkys,     china,        <Channel name: shadowkekw>,       2024-11-07 11:11:31.697994 

 sullkys,     poland,        <Channel name: shadowkekw>,       2024-11-07 11:11:37.549040 

 sullkys,     Israel,        <Channel name: shadowkekw>,       2024-11-07 11:11:47.531781 

 sullkys,     Sweden,        <Channel name: shadowkekw>,       2024-11-07 11:11:59.475103 

 sullkys,     brazil,        <Channel name: shadowkekw>,       2024-11-07 11:13:07.955166 

 sullkys,     Mexico,        <Channel name: shadowkekw>,       2024-11-07 11:13:13.502483 

 sullkys,     Malaysia,        <Channel name: shadowkekw>,       2024-11-07 11:14:42.693206 

 sullkys,     Pakistan,        <Channel name: shadowkekw>,       2024-11-07 11:14:53.419615 

 sullkys,     Chile,        <Channel name: shadowkekw>,       2024-11-07 11:15:14.154341 

 sullkys,     Bolivia,        <Channel name: shadowkekw>,       2024-11-07 11:15:30.653819 

 sullkys,     WW,        <Channel name: shadowkekw>,       2024-11-07 11:28:49.895490 

 sullkys,     ((,        <Channel name: shadowkekw>,       2024-11-07 12:00:48.314060 

 sullkys,     <3,        <Channel name: shadowkekw>,       2024-11-07 12:01:52.068846 
