
 synccgt,     NOOO WAYYYYY,        <Channel name: kaicenat>,       2024-11-07 01:33:45.978030 

 synccgt,     NOOOO,        <Channel name: kaicenat>,       2024-11-07 01:33:47.363428 

 synccgt,     ........,        <Channel name: kaicenat>,       2024-11-07 01:36:58.153286 

 synccgt,     uhh,        <Channel name: kaicenat>,       2024-11-07 02:20:55.019158 

 synccgt,     FAX,        <Channel name: kaicenat>,       2024-11-07 02:24:46.845656 

 synccgt,     LMFAO,        <Channel name: kaicenat>,       2024-11-07 02:29:42.818354 

 synccgt,     LMFOOOOOOO,        <Channel name: kaicenat>,       2024-11-07 02:47:22.375417 

 synccgt,     ??????,        <Channel name: kaicenat>,       2024-11-07 02:48:06.538909 

 synccgt,     LMFAO,        <Channel name: kaicenat>,       2024-11-07 02:48:10.300501 

 synccgt,     LMAO,        <Channel name: kaicenat>,       2024-11-07 02:48:14.233447 

 synccgt,     KANYE,        <Channel name: kaicenat>,       2024-11-07 02:49:25.316750 

 synccgt,     KANYEE,        <Channel name: kaicenat>,       2024-11-07 02:49:26.704566 

 synccgt,     KANYE,        <Channel name: kaicenat>,       2024-11-07 02:49:31.666927 

 synccgt,     YE,        <Channel name: kaicenat>,       2024-11-07 02:49:33.015935 

 synccgt,     Aware,        <Channel name: kaicenat>,       2024-11-07 02:52:34.778577 
