
 talantts,     38 WW,        <Channel name: shadowkekw>,       2024-11-07 09:03:12.213780 

 talantts,     110,        <Channel name: shadowkekw>,       2024-11-07 09:04:07.476422 

 talantts,     112,        <Channel name: shadowkekw>,       2024-11-07 09:06:09.299191 

 talantts,     and 2020,        <Channel name: shadowkekw>,       2024-11-07 09:07:08.644009 

 talantts,     WW,        <Channel name: shadowkekw>,       2024-11-07 09:08:36.531924 

 talantts,     SOS,        <Channel name: shadowkekw>,       2024-11-07 09:10:30.760978 

 talantts,     ej,        <Channel name: shadowkekw>,       2024-11-07 09:10:33.408162 

 talantts,     112 900,        <Channel name: shadowkekw>,       2024-11-07 09:10:40.449638 

 talantts,     skip 89,        <Channel name: shadowkekw>,       2024-11-07 09:28:52.798692 

 talantts,     <3 <3 <3 <3 <3 <3 <3,        <Channel name: shadowkekw>,       2024-11-07 09:34:29.375354 

 talantts,     EZ,        <Channel name: shadowkekw>,       2024-11-07 09:37:05.373185 

 talantts,     WW,        <Channel name: shadowkekw>,       2024-11-07 09:37:07.686254 
