
 tasperen,     GIFT ME,        <Channel name: kaicenat>,       2024-11-07 01:44:54.951701 

 tasperen,     THE NIGGA WHO LOVE BAD BUILT BITCHES,        <Channel name: kaicenat>,       2024-11-07 02:48:57.242974 

 tasperen,     REST BROTHER,        <Channel name: kaicenat>,       2024-11-07 09:42:48.924972 

 tasperen,     REAL SHITTTT,        <Channel name: kaicenat>,       2024-11-07 09:43:24.671574 

 tasperen,     IS HE ALSO LIVE ON TIKTOK?,        <Channel name: kaicenat>,       2024-11-07 10:44:39.814205 

 tasperen,     Them niggas are knocked,        <Channel name: kaicenat>,       2024-11-07 11:08:43.590535 

 tasperen,     YOU'RE A TROOPER BROTHER,        <Channel name: kaicenat>,       2024-11-07 11:22:24.008973 

 tasperen,     GAHDAMN NIGGA,        <Channel name: kaicenat>,       2024-11-07 11:45:55.857091 

 tasperen,     EWWWWWWW,        <Channel name: kaicenat>,       2024-11-07 11:46:15.487946 
