
 tecooo0,     WW,        <Channel name: shadowkekw>,       2024-11-07 11:45:15.532501 

 tecooo0,     sps,        <Channel name: shadowkekw>,       2024-11-07 11:53:52.858725 

 tecooo0,     hi,        <Channel name: shadowkekw>,       2024-11-07 11:54:32.260167 

 tecooo0,     <3,        <Channel name: shadowkekw>,       2024-11-07 11:56:49.711502 

 tecooo0,     <3,        <Channel name: shadowkekw>,       2024-11-07 11:57:52.415856 

 tecooo0,     ((,        <Channel name: shadowkekw>,       2024-11-07 12:00:55.932209 

 tecooo0,     <3,        <Channel name: shadowkekw>,       2024-11-07 12:02:12.567270 

 tecooo0,     pizdec,        <Channel name: shadowkekw>,       2024-11-07 12:11:32.616826 

 tecooo0,     WW,        <Channel name: shadowkekw>,       2024-11-07 12:13:41.210152 

 tecooo0,     pizdec,        <Channel name: shadowkekw>,       2024-11-07 12:15:13.524300 
