
 the_king_of_typos,     Same,        <Channel name: megalodonvt>,       2024-11-07 09:53:37.419875 

 the_king_of_typos,     Shadow,        <Channel name: megalodonvt>,       2024-11-07 09:54:20.778316 

 the_king_of_typos,     Slot,        <Channel name: megalodonvt>,       2024-11-07 09:55:52.392793 

 the_king_of_typos,     Toys,        <Channel name: megalodonvt>,       2024-11-07 09:56:07.176891 

 the_king_of_typos,     Leer,        <Channel name: megalodonvt>,       2024-11-07 09:58:27.361896 

 the_king_of_typos,     Peer,        <Channel name: megalodonvt>,       2024-11-07 09:58:33.632022 

 the_king_of_typos,     Mint,        <Channel name: megalodonvt>,       2024-11-07 10:00:28.383147 

 the_king_of_typos,     Lint,        <Channel name: megalodonvt>,       2024-11-07 10:00:34.982484 

 the_king_of_typos,     Mining,        <Channel name: megalodonvt>,       2024-11-07 10:01:00.480838 

 the_king_of_typos,     Gint,        <Channel name: megalodonvt>,       2024-11-07 10:01:39.287366 

 the_king_of_typos,     Dryer,        <Channel name: megalodonvt>,       2024-11-07 10:02:43.067062 

 the_king_of_typos,     Yard,        <Channel name: megalodonvt>,       2024-11-07 10:02:50.692671 

 the_king_of_typos,     Dear,        <Channel name: megalodonvt>,       2024-11-07 10:03:34.925968 

 the_king_of_typos,     Read,        <Channel name: megalodonvt>,       2024-11-07 10:04:02.816202 

 the_king_of_typos,     Fear,        <Channel name: megalodonvt>,       2024-11-07 10:04:12.846210 

 the_king_of_typos,     Teal,        <Channel name: megalodonvt>,       2024-11-07 10:04:20.826784 

 the_king_of_typos,     Open,        <Channel name: megalodonvt>,       2024-11-07 10:05:48.623947 

 the_king_of_typos,     Ping,        <Channel name: megalodonvt>,       2024-11-07 10:06:01.019200 

 the_king_of_typos,     Nipe,        <Channel name: megalodonvt>,       2024-11-07 10:06:53.317235 

 the_king_of_typos,     Gine,        <Channel name: megalodonvt>,       2024-11-07 10:07:18.222695 

 the_king_of_typos,     Free,        <Channel name: megalodonvt>,       2024-11-07 10:08:34.004198 

 the_king_of_typos,     Feed,        <Channel name: megalodonvt>,       2024-11-07 10:08:39.894107 

 the_king_of_typos,     Fear,        <Channel name: megalodonvt>,       2024-11-07 10:08:55.419845 

 the_king_of_typos,     Oder,        <Channel name: megalodonvt>,       2024-11-07 10:09:10.195783 

 the_king_of_typos,     Foder,        <Channel name: megalodonvt>,       2024-11-07 10:09:32.564834 

 the_king_of_typos,     REed,        <Channel name: megalodonvt>,       2024-11-07 10:10:04.578527 

 the_king_of_typos,     Deed,        <Channel name: megalodonvt>,       2024-11-07 10:10:26.307249 

 the_king_of_typos,     Born,        <Channel name: megalodonvt>,       2024-11-07 10:11:40.011306 

 the_king_of_typos,     Nobe,        <Channel name: megalodonvt>,       2024-11-07 10:11:48.603020 

 the_king_of_typos,     Rone,        <Channel name: megalodonvt>,       2024-11-07 10:12:06.976699 

 the_king_of_typos,     Hard,        <Channel name: megalodonvt>,       2024-11-07 10:13:00.794515 

 the_king_of_typos,     Card,        <Channel name: megalodonvt>,       2024-11-07 10:13:07.256394 

 the_king_of_typos,     Crab,        <Channel name: megalodonvt>,       2024-11-07 10:13:26.147602 

 the_king_of_typos,     Chord,        <Channel name: megalodonvt>,       2024-11-07 10:13:38.742263 

 the_king_of_typos,     Cord,        <Channel name: megalodonvt>,       2024-11-07 10:13:51.901137 

 the_king_of_typos,     Card,        <Channel name: megalodonvt>,       2024-11-07 10:14:05.302513 

 the_king_of_typos,     Bard,        <Channel name: megalodonvt>,       2024-11-07 10:14:11.902955 

 the_king_of_typos,     Reach,        <Channel name: megalodonvt>,       2024-11-07 10:14:43.176978 

 the_king_of_typos,     Pasel,        <Channel name: megalodonvt>,       2024-11-07 10:15:57.120635 

 the_king_of_typos,     PPlap,        <Channel name: megalodonvt>,       2024-11-07 10:16:11.798434 

 the_king_of_typos,     Plap,        <Channel name: megalodonvt>,       2024-11-07 10:16:18.149196 

 the_king_of_typos,     Slap,        <Channel name: megalodonvt>,       2024-11-07 10:16:34.405569 

 the_king_of_typos,     Appear,        <Channel name: megalodonvt>,       2024-11-07 10:17:33.881059 

 the_king_of_typos,     Cues,        <Channel name: megalodonvt>,       2024-11-07 10:18:45.026855 

 the_king_of_typos,     Exude,        <Channel name: megalodonvt>,       2024-11-07 10:18:55.203545 

 the_king_of_typos,     Muse,        <Channel name: megalodonvt>,       2024-11-07 10:20:10.032320 

 the_king_of_typos,     Cuss,        <Channel name: megalodonvt>,       2024-11-07 10:20:35.583427 

 the_king_of_typos,     Doan,        <Channel name: megalodonvt>,       2024-11-07 10:21:33.943093 

 the_king_of_typos,     Sand,        <Channel name: megalodonvt>,       2024-11-07 10:21:43.290276 

 the_king_of_typos,     Snoob,        <Channel name: megalodonvt>,       2024-11-07 10:22:34.255783 

 the_king_of_typos,     Well darn.,        <Channel name: megalodonvt>,       2024-11-07 10:23:38.897532 

 the_king_of_typos,     WWalk,        <Channel name: megalodonvt>,       2024-11-07 10:24:37.417745 

 the_king_of_typos,     Walk,        <Channel name: megalodonvt>,       2024-11-07 10:24:42.602317 

 the_king_of_typos,     Clak,        <Channel name: megalodonvt>,       2024-11-07 10:24:58.157955 

 the_king_of_typos,     Walt,        <Channel name: megalodonvt>,       2024-11-07 10:25:30.198592 

 the_king_of_typos,     Wack,        <Channel name: megalodonvt>,       2024-11-07 10:25:52.812181 

 the_king_of_typos,     Tack,        <Channel name: megalodonvt>,       2024-11-07 10:26:14.323851 

 the_king_of_typos,     Lack,        <Channel name: megalodonvt>,       2024-11-07 10:26:29.307627 

 the_king_of_typos,     Nail,        <Channel name: megalodonvt>,       2024-11-07 10:27:37.972363 

 the_king_of_typos,     Villan,        <Channel name: megalodonvt>,       2024-11-07 10:28:02.422406 

 the_king_of_typos,     Valna,        <Channel name: megalodonvt>,       2024-11-07 10:28:32.287658 

 the_king_of_typos,     Vein,        <Channel name: megalodonvt>,       2024-11-07 10:28:53.061309 

 the_king_of_typos,     Vain,        <Channel name: megalodonvt>,       2024-11-07 10:28:59.841608 

 the_king_of_typos,     Vale,        <Channel name: megalodonvt>,       2024-11-07 10:29:18.362978 

 the_king_of_typos,     Vall,        <Channel name: megalodonvt>,       2024-11-07 10:29:24.482313 

 the_king_of_typos,     Nial,        <Channel name: megalodonvt>,       2024-11-07 10:29:43.628172 

 the_king_of_typos,     Boat,        <Channel name: megalodonvt>,       2024-11-07 10:30:49.032272 

 the_king_of_typos,     Bant,        <Channel name: megalodonvt>,       2024-11-07 10:30:58.934856 

 the_king_of_typos,     Crocs,        <Channel name: megalodonvt>,       2024-11-07 10:33:48.129073 

 the_king_of_typos,     Toss,        <Channel name: megalodonvt>,       2024-11-07 10:34:04.199524 

 the_king_of_typos,     Corn,        <Channel name: megalodonvt>,       2024-11-07 10:34:16.409735 

 the_king_of_typos,     Snore,        <Channel name: megalodonvt>,       2024-11-07 10:34:27.414025 

 the_king_of_typos,     Rest,        <Channel name: megalodonvt>,       2024-11-07 10:34:47.593728 

 the_king_of_typos,     Cost,        <Channel name: megalodonvt>,       2024-11-07 10:35:03.197605 

 the_king_of_typos,     Cone,        <Channel name: megalodonvt>,       2024-11-07 10:35:25.070294 

 the_king_of_typos,     Core,        <Channel name: megalodonvt>,       2024-11-07 10:35:47.841059 

 the_king_of_typos,     Dear,        <Channel name: megalodonvt>,       2024-11-07 10:36:44.835874 

 the_king_of_typos,     Clear,        <Channel name: megalodonvt>,       2024-11-07 10:36:51.254571 

 the_king_of_typos,     Call,        <Channel name: megalodonvt>,       2024-11-07 10:37:03.842744 

 the_king_of_typos,     Real,        <Channel name: megalodonvt>,       2024-11-07 10:37:10.673962 

 the_king_of_typos,     DDeal,        <Channel name: megalodonvt>,       2024-11-07 10:37:32.706838 

 the_king_of_typos,     Deal,        <Channel name: megalodonvt>,       2024-11-07 10:37:35.777549 

 the_king_of_typos,     Lead,        <Channel name: megalodonvt>,       2024-11-07 10:37:48.703986 

 the_king_of_typos,     Cale,        <Channel name: megalodonvt>,       2024-11-07 10:38:38.727145 

 the_king_of_typos,     Hydra,        <Channel name: megalodonvt>,       2024-11-07 10:39:37.736068 

 the_king_of_typos,     Yard,        <Channel name: megalodonvt>,       2024-11-07 10:39:49.655207 

 the_king_of_typos,     Bard,        <Channel name: megalodonvt>,       2024-11-07 10:40:04.110120 

 the_king_of_typos,     Card,        <Channel name: megalodonvt>,       2024-11-07 10:40:08.420002 

 the_king_of_typos,     Daly,        <Channel name: megalodonvt>,       2024-11-07 10:40:55.786854 

 the_king_of_typos,     Layd,        <Channel name: megalodonvt>,       2024-11-07 10:41:26.098787 

 the_king_of_typos,     Exude,        <Channel name: megalodonvt>,       2024-11-07 10:43:16.493459 

 the_king_of_typos,     Feed,        <Channel name: megalodonvt>,       2024-11-07 10:43:27.440363 

 the_king_of_typos,     Cues,        <Channel name: megalodonvt>,       2024-11-07 10:43:50.866667 

 the_king_of_typos,     Excuse,        <Channel name: megalodonvt>,       2024-11-07 10:44:11.988464 

 the_king_of_typos,     Delud,        <Channel name: megalodonvt>,       2024-11-07 10:44:31.569023 

 the_king_of_typos,     Leed,        <Channel name: megalodonvt>,       2024-11-07 10:45:16.261260 

 the_king_of_typos,     Cued,        <Channel name: megalodonvt>,       2024-11-07 10:46:15.493581 

 the_king_of_typos,     Fual,        <Channel name: megalodonvt>,       2024-11-07 10:46:31.127855 

 the_king_of_typos,     Fail,        <Channel name: megalodonvt>,       2024-11-07 10:46:40.253035 

 the_king_of_typos,     Quail,        <Channel name: megalodonvt>,       2024-11-07 10:46:57.549250 

 the_king_of_typos,     Eclair,        <Channel name: megalodonvt>,       2024-11-07 10:47:20.483530 

 the_king_of_typos,     Clair,        <Channel name: megalodonvt>,       2024-11-07 10:47:33.137460 

 the_king_of_typos,     Freak,        <Channel name: megalodonvt>,       2024-11-07 10:48:17.150626 

 the_king_of_typos,     ggs,        <Channel name: megalodonvt>,       2024-11-07 10:48:36.727997 

 the_king_of_typos,     Holy cow, Selsoh is an absolute UNIT in this.,        <Channel name: megalodonvt>,       2024-11-07 10:49:24.305402 

 the_king_of_typos,     Cesar,        <Channel name: megalodonvt>,       2024-11-07 10:49:44.582558 

 the_king_of_typos,     Creas,        <Channel name: megalodonvt>,       2024-11-07 10:49:59.256237 

 the_king_of_typos,     Sace,        <Channel name: megalodonvt>,       2024-11-07 10:50:43.715149 

 the_king_of_typos,     Been,        <Channel name: megalodonvt>,       2024-11-07 10:52:39.154414 

 the_king_of_typos,     Benet,        <Channel name: megalodonvt>,       2024-11-07 10:52:48.639349 

