
 the_seven_ysen,     Zambia,        <Channel name: shadowkekw>,       2024-11-07 10:24:32.730205 

 the_seven_ysen,     India,        <Channel name: shadowkekw>,       2024-11-07 10:25:10.446543 

 the_seven_ysen,     Zambia,        <Channel name: shadowkekw>,       2024-11-07 10:25:30.845571 

 the_seven_ysen,     Zambia,        <Channel name: shadowkekw>,       2024-11-07 10:29:13.622809 

 the_seven_ysen,     Zambia,        <Channel name: shadowkekw>,       2024-11-07 10:31:42.590996 

 the_seven_ysen,     New Zealand,        <Channel name: shadowkekw>,       2024-11-07 10:32:24.223909 

 the_seven_ysen,     Zambia,        <Channel name: shadowkekw>,       2024-11-07 10:32:42.204294 

 the_seven_ysen,     Iran,        <Channel name: shadowkekw>,       2024-11-07 10:35:07.104929 

 the_seven_ysen,     Zambia,        <Channel name: shadowkekw>,       2024-11-07 10:37:16.205643 

 the_seven_ysen,     Bg,        <Channel name: shadowkekw>,       2024-11-07 10:37:50.455676 

 the_seven_ysen,     Za,        <Channel name: shadowkekw>,       2024-11-07 10:37:53.496325 

 the_seven_ysen,     Iq,        <Channel name: shadowkekw>,       2024-11-07 10:38:33.864390 

 the_seven_ysen,     Zambia,        <Channel name: shadowkekw>,       2024-11-07 10:41:19.380560 

 the_seven_ysen,     Zambia,        <Channel name: shadowkekw>,       2024-11-07 10:44:19.776029 

 the_seven_ysen,     Zm,        <Channel name: shadowkekw>,       2024-11-07 10:54:42.668990 

 the_seven_ysen,     Zambia,        <Channel name: shadowkekw>,       2024-11-07 10:55:50.781805 

 the_seven_ysen,     Zambia,        <Channel name: shadowkekw>,       2024-11-07 10:57:50.117551 

 the_seven_ysen,     Zambia,        <Channel name: shadowkekw>,       2024-11-07 10:59:46.810319 

 the_seven_ysen,     Zambia,        <Channel name: shadowkekw>,       2024-11-07 11:02:47.399208 

 the_seven_ysen,     Zambia,        <Channel name: shadowkekw>,       2024-11-07 11:08:07.091395 

 the_seven_ysen,     Zambia,        <Channel name: shadowkekw>,       2024-11-07 11:15:39.257250 
