
 theayyq,     who’s bro on the chair,        <Channel name: kaicenat>,       2024-11-07 12:20:34.381989 

 theayyq,     !roulette 10,        <Channel name: kaicenat>,       2024-11-07 12:27:04.092600 

 theayyq,     !roll,        <Channel name: kaicenat>,       2024-11-07 12:27:36.915772 

 theayyq,     !roulette 10,        <Channel name: kaicenat>,       2024-11-07 12:28:20.578591 

 theayyq,     !roulette 500,        <Channel name: kaicenat>,       2024-11-07 12:28:37.536935 

 theayyq,     W SYMON,        <Channel name: kaicenat>,       2024-11-07 12:48:18.594570 

 theayyq,     YO CHAT WHO LIL BRO ON THE LEFT,        <Channel name: kaicenat>,       2024-11-07 12:52:15.357496 

 theayyq,     chat that wasn’t earthquake that was 10 gifted,        <Channel name: kaicenat>,       2024-11-07 12:55:08.773353 

 theayyq,     bro just shaking the camera,        <Channel name: kaicenat>,       2024-11-07 13:01:56.749549 
