
 thislando,     can yall get to 230000,        <Channel name: kaicenat>,       2024-11-07 10:34:57.557437 

 thislando,     2300000!!!,        <Channel name: kaicenat>,       2024-11-07 10:35:04.220661 

 thislando,     230000!!!!,        <Channel name: kaicenat>,       2024-11-07 10:35:10.446660 

 thislando,     let’s get to 230000!!!,        <Channel name: kaicenat>,       2024-11-07 10:35:48.832071 

 thislando,     someone do 100 plz,        <Channel name: kaicenat>,       2024-11-07 13:11:26.787750 

 thislando,     please do 10000,        <Channel name: kaicenat>,       2024-11-07 13:11:50.455576 

 thislando,     100!!!!,        <Channel name: kaicenat>,       2024-11-07 13:12:00.509555 

 thislando,     100!,        <Channel name: kaicenat>,       2024-11-07 13:12:39.699992 

 thislando,     100!!!!,        <Channel name: kaicenat>,       2024-11-07 13:13:09.043389 

 thislando,     someone do 100,        <Channel name: kaicenat>,       2024-11-07 13:13:50.533052 

 thislando,     9”,        <Channel name: kaicenat>,       2024-11-07 13:14:10.212887 

 thislando,     kaicSturdyy kaicSturdyy kaicSturdyy kaicSturdyy,        <Channel name: kaicenat>,       2024-11-07 13:15:01.532371 

 thislando,     kaicSturdyy kaicSturdyy kaicSturdyy,        <Channel name: kaicenat>,       2024-11-07 13:15:05.452161 

 thislando,     kaicSturdyy kaicGimmiegold kaicGimmiegold kaicNaenae,        <Channel name: kaicenat>,       2024-11-07 13:15:08.203527 
