
 tinfishy_,     gg,        <Channel name: lacy>,       2024-11-07 13:19:20.802845 

 tinfishy_,     gg,        <Channel name: lacy>,       2024-11-07 13:19:23.539997 

 tinfishy_,     OV,        <Channel name: lacy>,       2024-11-07 13:19:44.472035 

 tinfishy_,     gg,        <Channel name: lacy>,       2024-11-07 13:28:55.145526 

 tinfishy_,     ta,        <Channel name: lacy>,       2024-11-07 13:30:59.907303 

 tinfishy_,     gg,        <Channel name: lacy>,       2024-11-07 13:31:59.476264 
tinfishy_,     HUH,        <Channel name: lacy>,       2024-11-07 15:46:24.665263 
tinfishy_,     uuh,        <Channel name: lacy>,       2024-11-07 15:50:34.741977 
tinfishy_,     THATHIT,        <Channel name: lacy>,       2024-11-07 15:50:43.563785 
tinfishy_,     LMAOOOOO,        <Channel name: lacy>,       2024-11-07 15:56:30.964631 
tinfishy_,     ayo,        <Channel name: lacy>,       2024-11-07 15:59:15.698609 
tinfishy_,     gg,        <Channel name: stableronaldo>,       2024-11-07 16:01:14.053831 
tinfishy_,     3/10,        <Channel name: lacy>,       2024-11-07 16:01:26.072859 
tinfishy_,     ono,        <Channel name: stableronaldo>,       2024-11-07 16:01:55.343701 
tinfishy_,     gg,        <Channel name: stableronaldo>,       2024-11-07 16:01:57.323375 
tinfishy_,     Capping,        <Channel name: clix>,       2024-11-07 16:02:03.400931 
tinfishy_,     LMAO,        <Channel name: lacy>,       2024-11-07 16:03:54.408212 
tinfishy_,     GET OUT LETSGO,        <Channel name: lacy>,       2024-11-07 16:04:09.515789 
tinfishy_,     ?,        <Channel name: lacy>,       2024-11-07 16:06:55.197032 
tinfishy_,     GET OUT LETSGO,        <Channel name: lacy>,       2024-11-07 16:06:58.226130 
tinfishy_,     Pffttt,        <Channel name: lacy>,       2024-11-07 16:10:14.142613 
tinfishy_,     ome44,        <Channel name: lacy>,       2024-11-07 16:10:17.165510 
tinfishy_,     Reacting,        <Channel name: lacy>,       2024-11-07 16:11:34.140918 
tinfishy_,     gg,        <Channel name: lacy>,       2024-11-07 16:12:50.474787 
tinfishy_,     TAWAY,        <Channel name: lacy>,       2024-11-07 16:13:02.335684 
tinfishy_,     ta,        <Channel name: lacy>,       2024-11-07 16:14:30.008092 
tinfishy_,     ta,        <Channel name: lacy>,       2024-11-07 16:14:31.981539 
tinfishy_,     ta,        <Channel name: lacy>,       2024-11-07 16:14:33.620690 
tinfishy_,     ta,        <Channel name: lacy>,       2024-11-07 16:14:35.106619 
tinfishy_,     ta,        <Channel name: lacy>,       2024-11-07 16:14:36.430053 
tinfishy_,     ta,        <Channel name: lacy>,       2024-11-07 16:15:15.625084 
tinfishy_,     TAWAY,        <Channel name: lacy>,       2024-11-07 16:15:31.832781 
tinfishy_,     TAWAY,        <Channel name: lacy>,       2024-11-07 16:15:32.044839 
tinfishy_,     uuh,        <Channel name: lacy>,       2024-11-07 16:16:14.367816 
tinfishy_,     uuh,        <Channel name: lacy>,       2024-11-07 16:17:14.930013 
tinfishy_,     uuh,        <Channel name: lacy>,       2024-11-07 16:17:16.580105 
tinfishy_,     uuh,        <Channel name: lacy>,       2024-11-07 16:18:21.265581 
tinfishy_,     uuh,        <Channel name: lacy>,       2024-11-07 16:18:21.963575 
tinfishy_,     uuh,        <Channel name: lacy>,       2024-11-07 16:18:28.683166 
tinfishy_,     uuh,        <Channel name: lacy>,       2024-11-07 16:18:29.821132 
tinfishy_,     uuh,        <Channel name: lacy>,       2024-11-07 16:18:33.013830 
tinfishy_,     uuh,        <Channel name: lacy>,       2024-11-07 16:18:33.485229 
tinfishy_,     uuh,        <Channel name: lacy>,       2024-11-07 16:18:37.640954 
tinfishy_,     KEKW,        <Channel name: lacy>,       2024-11-07 16:19:55.649059 
tinfishy_,     uuh,        <Channel name: lacy>,       2024-11-07 16:20:11.731416 
tinfishy_,     uuh,        <Channel name: lacy>,       2024-11-07 16:20:11.966875 
tinfishy_,     uuh,        <Channel name: lacy>,       2024-11-07 16:20:12.140191 
tinfishy_,     omeStare,        <Channel name: lacy>,       2024-11-07 16:20:27.202319 
tinfishy_,     WEDIDIT,        <Channel name: lacy>,       2024-11-07 16:20:43.147321 
