
 tootsier0lls,     uw,        <Channel name: kaicenat>,       2024-11-07 09:05:40.019181 

 tootsier0lls,     uwu,        <Channel name: kaicenat>,       2024-11-07 09:05:41.883849 

 tootsier0lls,     ??,        <Channel name: kaicenat>,       2024-11-07 09:19:24.585717 

 tootsier0lls,     LMAO,        <Channel name: kaicenat>,       2024-11-07 09:19:31.133047 

 tootsier0lls,     MMMMMMM',        <Channel name: kaicenat>,       2024-11-07 09:27:59.693933 

 tootsier0lls,     OKKAYY,        <Channel name: kaicenat>,       2024-11-07 09:28:05.084422 

 tootsier0lls,     OOOO,        <Channel name: kaicenat>,       2024-11-07 09:28:09.419637 

 tootsier0lls,     WWW,        <Channel name: kaicenat>,       2024-11-07 09:29:25.714000 

 tootsier0lls,     LMAOOOO,        <Channel name: kaicenat>,       2024-11-07 09:35:05.121398 

 tootsier0lls,     ?,        <Channel name: kaicenat>,       2024-11-07 09:35:51.387585 

 tootsier0lls,     production?,        <Channel name: kaicenat>,       2024-11-07 09:35:59.323578 

 tootsier0lls,     LMAOO,        <Channel name: kaicenat>,       2024-11-07 09:36:10.602030 

 tootsier0lls,     AGAIN??,        <Channel name: kaicenat>,       2024-11-07 09:39:39.915726 

 tootsier0lls,     EW,        <Channel name: kaicenat>,       2024-11-07 09:42:33.119901 

 tootsier0lls,     ewwww,        <Channel name: kaicenat>,       2024-11-07 09:42:51.782504 

 tootsier0lls,     NASTY BETCH,        <Channel name: kaicenat>,       2024-11-07 09:42:57.858993 

 tootsier0lls,     EWWW,        <Channel name: kaicenat>,       2024-11-07 09:43:10.427493 

 tootsier0lls,     LMAOOO,        <Channel name: kaicenat>,       2024-11-07 09:43:14.730872 

 tootsier0lls,     LMAOOOOO,        <Channel name: kaicenat>,       2024-11-07 09:43:19.408807 

 tootsier0lls,     ONG,        <Channel name: kaicenat>,       2024-11-07 09:43:21.492600 

 tootsier0lls,     hes fuckng dying bro,        <Channel name: kaicenat>,       2024-11-07 09:43:40.734491 
