
 tredagamer20,     spinn dat hoe,        <Channel name: kaicenat>,       2024-11-07 01:32:53.761689 

 tredagamer20,     dat bih spinnin,        <Channel name: kaicenat>,       2024-11-07 01:33:05.618003 

 tredagamer20,     bro if it does split or steal i swea,        <Channel name: kaicenat>,       2024-11-07 01:33:29.425183 

 tredagamer20,     spin dat bih,        <Channel name: kaicenat>,       2024-11-07 01:36:02.512223 

 tredagamer20,     why u poke it Kai,        <Channel name: kaicenat>,       2024-11-07 01:36:46.443567 

 tredagamer20,     I seen u poke it,        <Channel name: kaicenat>,       2024-11-07 01:36:54.773256 

 tredagamer20,     get off the wheel lmao,        <Channel name: kaicenat>,       2024-11-07 01:37:12.687989 

 tredagamer20,     he slowing it w his back lmao,        <Channel name: kaicenat>,       2024-11-07 01:37:50.152159 

 tredagamer20,     he slowed it lmao,        <Channel name: kaicenat>,       2024-11-07 01:37:55.347679 

 tredagamer20,     lmaoooooo,        <Channel name: kaicenat>,       2024-11-07 01:40:08.450276 

 tredagamer20,     minminute,        <Channel name: kaicenat>,       2024-11-07 01:40:17.606967 

 tredagamer20,     minute,        <Channel name: kaicenat>,       2024-11-07 01:40:26.996400 

 tredagamer20,     min,        <Channel name: kaicenat>,       2024-11-07 01:40:29.861473 

 tredagamer20,     1 min,        <Channel name: kaicenat>,       2024-11-07 01:40:42.668263 

 tredagamer20,     1 min yea,        <Channel name: kaicenat>,       2024-11-07 01:41:32.891299 

 tredagamer20,     use that  gfuel,        <Channel name: kaicenat>,       2024-11-07 01:42:47.898253 

 tredagamer20,     a mod lol,        <Channel name: kaicenat>,       2024-11-07 01:43:01.327259 

 tredagamer20,     mods lmao,        <Channel name: kaicenat>,       2024-11-07 01:43:19.447689 

 tredagamer20,     yah,        <Channel name: kaicenat>,       2024-11-07 01:43:51.790213 

 tredagamer20,     1 min,        <Channel name: kaicenat>,       2024-11-07 01:43:57.826453 

 tredagamer20,     600 secs,        <Channel name: kaicenat>,       2024-11-07 01:44:04.320012 

 tredagamer20,     1 min,        <Channel name: kaicenat>,       2024-11-07 01:44:27.558983 

 tredagamer20,     no 1 min,        <Channel name: kaicenat>,       2024-11-07 01:44:31.907242 

 tredagamer20,     poll,        <Channel name: kaicenat>,       2024-11-07 01:44:40.064687 

 tredagamer20,     poll it,        <Channel name: kaicenat>,       2024-11-07 01:44:46.373680 

 tredagamer20,     poll it out,        <Channel name: kaicenat>,       2024-11-07 01:44:48.880057 

 tredagamer20,     Poll it,        <Channel name: kaicenat>,       2024-11-07 01:44:58.229311 

 tredagamer20,     POLL ??,        <Channel name: kaicenat>,       2024-11-07 01:45:12.999589 

 tredagamer20,     Poll IT,        <Channel name: kaicenat>,       2024-11-07 01:45:17.408391 

 tredagamer20,     Poll it,        <Channel name: kaicenat>,       2024-11-07 01:45:49.150784 

 tredagamer20,     poll Kai,        <Channel name: kaicenat>,       2024-11-07 01:45:54.348971 

 tredagamer20,     poll it .,        <Channel name: kaicenat>,       2024-11-07 01:46:31.668904 

 tredagamer20,     Guieness KAI not google,        <Channel name: kaicenat>,       2024-11-07 01:48:31.383732 

 tredagamer20,     i was like wtf sexxyyy\,        <Channel name: kaicenat>,       2024-11-07 01:50:15.835574 
