
 tyrinnlmb,     !roulette 420,        <Channel name: kaicenat>,       2024-11-07 10:19:21.614899 

 tyrinnlmb,     !roulette 400,        <Channel name: kaicenat>,       2024-11-07 10:20:01.210986 

 tyrinnlmb,     !roulette,        <Channel name: kaicenat>,       2024-11-07 10:58:45.906390 

 tyrinnlmb,     !watchtime,        <Channel name: kaicenat>,       2024-11-07 10:59:00.007916 

 tyrinnlmb,     !followage,        <Channel name: kaicenat>,       2024-11-07 10:59:18.816916 

 tyrinnlmb,     !roulette 500,        <Channel name: kaicenat>,       2024-11-07 10:59:43.242911 

 tyrinnlmb,     !roulette 200,        <Channel name: kaicenat>,       2024-11-07 11:00:16.123767 

 tyrinnlmb,     !time,        <Channel name: kaicenat>,       2024-11-07 11:01:03.358997 

 tyrinnlmb,     just buy a sub everyone asking brokkeeee,        <Channel name: kaicenat>,       2024-11-07 11:05:06.866275 
