
 vas1lk,     Laos,        <Channel name: shadowkekw>,       2024-11-07 10:32:55.593889 

 vas1lk,     Benin,        <Channel name: shadowkekw>,       2024-11-07 10:34:27.047393 

 vas1lk,     Mali,        <Channel name: shadowkekw>,       2024-11-07 10:36:43.938274 

 vas1lk,     Namibia,        <Channel name: shadowkekw>,       2024-11-07 10:37:06.662176 

 vas1lk,     ru,        <Channel name: shadowkekw>,       2024-11-07 10:37:27.353528 

 vas1lk,     ry,        <Channel name: shadowkekw>,       2024-11-07 10:37:39.994974 

 vas1lk,     gh,        <Channel name: shadowkekw>,       2024-11-07 10:37:50.835513 

 vas1lk,     Senegal,        <Channel name: shadowkekw>,       2024-11-07 10:38:30.174804 

 vas1lk,     ur,        <Channel name: shadowkekw>,       2024-11-07 10:39:13.974682 

 vas1lk,     African Republic,        <Channel name: shadowkekw>,       2024-11-07 10:39:37.997074 

 vas1lk,     itali,        <Channel name: shadowkekw>,       2024-11-07 10:39:57.604856 
