
 vetements2077,     hey Q,        <Channel name: kaicenat>,       2024-11-07 10:42:38.607273 

 vetements2077,     yooo,        <Channel name: kaicenat>,       2024-11-07 10:59:15.234089 

 vetements2077,     gift me !,        <Channel name: kaicenat>,       2024-11-07 10:59:28.742032 

 vetements2077,     ChewyYAY,        <Channel name: kaicenat>,       2024-11-07 10:59:37.364133 

 vetements2077,     GoatEmotey,        <Channel name: kaicenat>,       2024-11-07 10:59:49.925108 

 vetements2077,     FallWinning,        <Channel name: kaicenat>,       2024-11-07 10:59:56.930725 

 vetements2077,     gift meeeeee,        <Channel name: kaicenat>,       2024-11-07 11:01:16.935826 

 vetements2077,     gift me,        <Channel name: kaicenat>,       2024-11-07 11:12:00.776805 

 vetements2077,     gift me ChewyYAY,        <Channel name: kaicenat>,       2024-11-07 11:12:08.278793 

 vetements2077,     gift me,        <Channel name: kaicenat>,       2024-11-07 11:14:57.009433 

 vetements2077,     yoooo,        <Channel name: kaicenat>,       2024-11-07 11:15:10.689632 

 vetements2077,     yo,        <Channel name: kaicenat>,       2024-11-07 11:48:53.661770 

 vetements2077,     yo,        <Channel name: kaicenat>,       2024-11-07 12:08:28.126499 

 vetements2077,     yo,        <Channel name: kaicenat>,       2024-11-07 12:25:06.551205 

 vetements2077,     GIFT ME !,        <Channel name: kaicenat>,       2024-11-07 12:25:15.501563 

 vetements2077,     gift meeeeee,        <Channel name: kaicenat>,       2024-11-07 12:28:18.094563 
