
 victimofpilat,     chat is it bad that im still getting ninja low taper fade memes on my tiktok,        <Channel name: mongraal>,       2024-11-07 09:21:48.628677 

 victimofpilat,     yo mongraal are you ever getting a transplant,        <Channel name: mongraal>,       2024-11-07 09:22:55.636367 

 victimofpilat,     mrsavage hawk tuah,        <Channel name: mongraal>,       2024-11-07 09:23:54.944792 

 victimofpilat,     !trio,        <Channel name: mongraal>,       2024-11-07 09:24:41.296301 

 victimofpilat,     whos your trio,        <Channel name: mongraal>,       2024-11-07 09:24:57.035957 

 victimofpilat,     @Oatley yooo rapley,        <Channel name: mongraal>,       2024-11-07 09:26:26.832852 

 victimofpilat,     @Oatley i love floppers,        <Channel name: mongraal>,       2024-11-07 09:26:40.903582 

 victimofpilat,     oatley taxed my floppers,        <Channel name: mongraal>,       2024-11-07 09:26:56.103065 

 victimofpilat,     @Oatley unban me from ur chat,        <Channel name: mongraal>,       2024-11-07 09:28:00.407707 

 victimofpilat,     @Oatley you know whats crazy that low taper fade meme,        <Channel name: mongraal>,       2024-11-07 09:28:31.173696 

 victimofpilat,     @iBUYTERMINATOR deadass had it on my for you page,        <Channel name: mongraal>,       2024-11-07 09:29:02.658695 

 victimofpilat,     @Oatley the eminem poi is in fortnite,        <Channel name: mongraal>,       2024-11-07 09:29:41.347447 

 victimofpilat,     @Mongraal are you having a ehmazing day !!,        <Channel name: mongraal>,       2024-11-07 09:35:56.878781 

 victimofpilat,     EHMAZING!!,        <Channel name: mongraal>,       2024-11-07 09:36:19.258810 

 victimofpilat,     @xVarikin1 get an adblocker,        <Channel name: kaicenat>,       2024-11-07 12:19:26.413565 

 victimofpilat,     @47cbng NOT SCAMMED,        <Channel name: kaicenat>,       2024-11-07 12:59:09.702587 

 victimofpilat,     GIFT 50 GIFT 50 GIFT 50 GIFT 50,        <Channel name: kaicenat>,       2024-11-07 13:09:59.877922 

 victimofpilat,     GIFT 50 GIFT 50 GIFT 50 GIFT 50 GIFT 50 GIFT 50 GIFT 50 GIFT 50 GIFT 50 GIFT 50 GIFT 50 GIFT 50,        <Channel name: kaicenat>,       2024-11-07 13:10:35.163783 

 victimofpilat,     @cfgxhitman74 gotta be like 13,        <Channel name: kaicenat>,       2024-11-07 14:53:46.299538 
