
 wawran9,     WW,        <Channel name: shadowkekw>,       2024-11-07 11:54:20.718822 

 wawran9,     WW WW,        <Channel name: shadowkekw>,       2024-11-07 11:54:23.211802 

 wawran9,     WW,        <Channel name: shadowkekw>,       2024-11-07 11:54:24.550775 

 wawran9,     <3 <3 <3 <3 <3 <3 <3,        <Channel name: shadowkekw>,       2024-11-07 11:56:27.018140 

 wawran9,     <3,        <Channel name: shadowkekw>,       2024-11-07 11:56:30.688242 

 wawran9,     <3 <3,        <Channel name: shadowkekw>,       2024-11-07 11:56:34.774544 

 wawran9,     <3,        <Channel name: shadowkekw>,       2024-11-07 11:56:37.299530 

 wawran9,     <3 <3 <3,        <Channel name: shadowkekw>,       2024-11-07 11:56:42.123241 

 wawran9,     <3,        <Channel name: shadowkekw>,       2024-11-07 11:56:45.959829 

 wawran9,     <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3,        <Channel name: shadowkekw>,       2024-11-07 11:56:51.709368 

 wawran9,     <3 <3,        <Channel name: shadowkekw>,       2024-11-07 11:56:55.090032 

 wawran9,     <3,        <Channel name: shadowkekw>,       2024-11-07 11:56:58.578479 

 wawran9,     <3 <3 <3 <3 <3 <3,        <Channel name: shadowkekw>,       2024-11-07 11:57:03.338511 

 wawran9,     brp,        <Channel name: shadowkekw>,       2024-11-07 11:58:35.995075 

 wawran9,     ((,        <Channel name: shadowkekw>,       2024-11-07 12:00:48.605823 

 wawran9,     (( ((,        <Channel name: shadowkekw>,       2024-11-07 12:00:54.104130 

 wawran9,     ((,        <Channel name: shadowkekw>,       2024-11-07 12:00:57.979241 

 wawran9,     (( <3,        <Channel name: shadowkekw>,       2024-11-07 12:01:02.583385 

 wawran9,     WW,        <Channel name: shadowkekw>,       2024-11-07 12:07:22.538848 

 wawran9,     Em....,        <Channel name: shadowkekw>,       2024-11-07 12:14:55.937495 

 wawran9,     Em,        <Channel name: shadowkekw>,       2024-11-07 12:15:01.295398 
