
 wcdonaldstrump,     Rajax,        <Channel name: jasontheween>,       2024-11-07 01:42:47.657135 

 wcdonaldstrump,     Rojax,        <Channel name: jasontheween>,       2024-11-07 01:42:47.921522 

 wcdonaldstrump,     Where do the others sing lol,        <Channel name: jasontheween>,       2024-11-07 01:43:24.985623 

 wcdonaldstrump,     Rojax,        <Channel name: jasontheween>,       2024-11-07 01:43:40.050215 

 wcdonaldstrump,     HOW COME ONLY JASON AND MAX SING,        <Channel name: jasontheween>,       2024-11-07 01:44:38.850398 

 wcdonaldstrump,     ITS ALL GOOD ASSEPT FOR SILKY PART,        <Channel name: jasontheween>,       2024-11-07 01:46:17.181643 

 wcdonaldstrump,     W mute,        <Channel name: jasontheween>,       2024-11-07 01:48:28.121332 

 wcdonaldstrump,     L UNMUTE,        <Channel name: jasontheween>,       2024-11-07 01:48:51.816587 

 wcdonaldstrump,     #REMOVE SILKY,        <Channel name: jasontheween>,       2024-11-07 01:51:39.654550 

 wcdonaldstrump,     WHAT ABOUT LACY,        <Channel name: jasontheween>,       2024-11-07 01:56:15.406105 
