
 wise_seeke,     Iceland,        <Channel name: shadowkekw>,       2024-11-07 10:08:40.028716 

 wise_seeke,     WW,        <Channel name: shadowkekw>,       2024-11-07 10:08:42.758647 

 wise_seeke,     Poland,        <Channel name: shadowkekw>,       2024-11-07 10:11:03.261270 

 wise_seeke,     Romania,        <Channel name: shadowkekw>,       2024-11-07 10:11:11.768861 

 wise_seeke,     Germany,        <Channel name: shadowkekw>,       2024-11-07 10:11:24.020998 

 wise_seeke,     PANAMa,        <Channel name: shadowkekw>,       2024-11-07 10:12:31.081766 

 wise_seeke,     NEw gvenuia,        <Channel name: shadowkekw>,       2024-11-07 10:13:08.559095 

 wise_seeke,     Poalnd,        <Channel name: shadowkekw>,       2024-11-07 10:14:21.835200 

 wise_seeke,     estonia,        <Channel name: shadowkekw>,       2024-11-07 10:14:31.784373 

 wise_seeke,     ukraine,        <Channel name: shadowkekw>,       2024-11-07 10:14:40.695000 

 wise_seeke,     Spain,        <Channel name: shadowkekw>,       2024-11-07 10:14:52.126653 

 wise_seeke,     Chevo,        <Channel name: shadowkekw>,       2024-11-07 10:15:01.072646 

 wise_seeke,     Russia,        <Channel name: shadowkekw>,       2024-11-07 10:16:57.698802 

 wise_seeke,     da,        <Channel name: shadowkekw>,       2024-11-07 10:18:02.984939 

 wise_seeke,     DE,        <Channel name: shadowkekw>,       2024-11-07 10:18:16.567207 

 wise_seeke,     Estonia,        <Channel name: shadowkekw>,       2024-11-07 10:18:37.414348 

 wise_seeke,     arab\,        <Channel name: shadowkekw>,       2024-11-07 10:20:59.903168 

 wise_seeke,     Poland,        <Channel name: shadowkekw>,       2024-11-07 10:21:34.241796 

 wise_seeke,     Spain,        <Channel name: shadowkekw>,       2024-11-07 10:21:39.422369 

 wise_seeke,     Egypet,        <Channel name: shadowkekw>,       2024-11-07 10:21:55.058135 

 wise_seeke,     Sri LAnka,        <Channel name: shadowkekw>,       2024-11-07 10:22:00.414566 

 wise_seeke,     South Afrika,        <Channel name: shadowkekw>,       2024-11-07 10:22:15.235673 

 wise_seeke,     Australia,        <Channel name: shadowkekw>,       2024-11-07 10:23:11.466583 

 wise_seeke,     @shadowkekw sosi,        <Channel name: shadowkekw>,       2024-11-07 10:24:40.300803 

 wise_seeke,     UA,        <Channel name: shadowkekw>,       2024-11-07 10:24:46.985349 

 wise_seeke,     NEw zeland,        <Channel name: shadowkekw>,       2024-11-07 10:25:04.091973 
