
 xdangotem,     WTF,        <Channel name: meltislive>,       2024-11-07 02:34:31.118195 

 xdangotem,     YOUR A FREE HAT,        <Channel name: meltislive>,       2024-11-07 02:34:42.635330 

 xdangotem,     YEAA YANNI,        <Channel name: meltislive>,       2024-11-07 02:36:36.241420 

 xdangotem,     I KNEW IT,        <Channel name: meltislive>,       2024-11-07 02:36:39.174866 

 xdangotem,     YOU ALMOST SHOT THE DOOR,        <Channel name: meltislive>,       2024-11-07 02:38:18.343177 

 xdangotem,     LMAOOOOOOOO,        <Channel name: meltislive>,       2024-11-07 02:51:15.166317 

 xdangotem,     ???????,        <Channel name: meltislive>,       2024-11-07 02:51:35.927143 

 xdangotem,     NIGGAA WHAT,        <Channel name: meltislive>,       2024-11-07 02:51:41.361587 

 xdangotem,     WTF,        <Channel name: meltislive>,       2024-11-07 02:52:12.417333 

 xdangotem,     POLICE???????,        <Channel name: meltislive>,       2024-11-07 02:52:19.838147 

 xdangotem,     LMAOOOOOOOOOOOOOO,        <Channel name: meltislive>,       2024-11-07 02:52:59.257785 

 xdangotem,     THATS HIS SHIT,        <Channel name: meltislive>,       2024-11-07 02:53:16.958821 
