
 xpriism,     good morning brother,        <Channel name: nadeshot>,       2024-11-07 10:03:13.417655 

 xpriism,     nadeMeat,        <Channel name: nadeshot>,       2024-11-07 10:13:23.674023 

 xpriism,     T2G,        <Channel name: nadeshot>,       2024-11-07 10:13:44.891518 

 xpriism,     LMFAOOO,        <Channel name: nadeshot>,       2024-11-07 11:37:12.383928 

 xpriism,     HAHAHAHAHAH,        <Channel name: nadeshot>,       2024-11-07 11:41:58.477135 

 xpriism,     LMAOOOO,        <Channel name: nadeshot>,       2024-11-07 11:42:34.243030 

 xpriism,     HAHAHAHAHHA,        <Channel name: nadeshot>,       2024-11-07 11:42:51.026100 

 xpriism,     LMAO,        <Channel name: nadeshot>,       2024-11-07 11:55:37.199725 

 xpriism,     hey,        <Channel name: nadeshot>,       2024-11-07 11:59:30.497145 

 xpriism,     LMAO,        <Channel name: nadeshot>,       2024-11-07 12:11:28.068982 

 xpriism,     LMFAOOOOO,        <Channel name: nadeshot>,       2024-11-07 12:15:46.905100 

 xpriism,     This timer is getting dangerously close to 100 hours,        <Channel name: nadeshot>,       2024-11-07 12:33:03.618402 

 xpriism,     ALL DAY,        <Channel name: nadeshot>,       2024-11-07 12:33:27.521006 
