
 xstandinovation,     Nigga finna be Brolic asl,        <Channel name: kaicenat>,       2024-11-07 01:41:45.704298 

 xstandinovation,     Gone be Brolic asb brodyyy,        <Channel name: kaicenat>,       2024-11-07 01:44:01.473307 

 xstandinovation,     33,        <Channel name: kaicenat>,       2024-11-07 02:00:35.329647 

 xstandinovation,     50,        <Channel name: kaicenat>,       2024-11-07 02:02:47.392909 

 xstandinovation,     61,        <Channel name: kaicenat>,       2024-11-07 02:03:40.352453 

 xstandinovation,     69,        <Channel name: kaicenat>,       2024-11-07 02:04:27.729605 

 xstandinovation,     69 bruh,        <Channel name: kaicenat>,       2024-11-07 02:04:53.018408 

 xstandinovation,     83,        <Channel name: kaicenat>,       2024-11-07 02:06:52.273394 

 xstandinovation,     nigga Brolic asl now lmfaoo,        <Channel name: kaicenat>,       2024-11-07 02:09:32.881392 
