
 xudouswyd,     its 9 am nigga wake up,        <Channel name: kaicenat>,       2024-11-07 12:25:27.560894 

 xudouswyd,     I WAS HERE,        <Channel name: kaicenat>,       2024-11-07 12:46:14.167645 

 xudouswyd,     i was here lets goooo,        <Channel name: kaicenat>,       2024-11-07 12:47:18.956452 

 xudouswyd,     W GIFTERS,        <Channel name: kaicenat>,       2024-11-07 12:47:26.469181 

 xudouswyd,     I WAS HERE XUDOUSI WAS HERE XUDOUSI WAS HERE XUDOUSI WAS HERE XUDOUSI WAS HERE XUDOUSI WAS HERE XUDOUSI WAS HERE XUDOUSI WAS HERE XUDOUSI WAS HERE XUDOUSI WAS HERE XUDOUSI WAS HERE XUDOUSI WAS HERE XUDOUSI WAS HERE XUDOUSI WAS HERE XUDOUS,        <Channel name: kaicenat>,       2024-11-07 12:47:51.468417 

 xudouswyd,     I WAS HERE XUDOUSI WAS HERE XUDOUSI WAS HERE XUDOUSI WAS HERE XUDOUS,        <Channel name: kaicenat>,       2024-11-07 12:48:00.214538 

 xudouswyd,     I WAS HERE XUDOUSI WAS HERE XUDOUSI WAS HERE XUDOUSI WAS HERE XUDOUSI WAS HERE XUDOUS,        <Channel name: kaicenat>,       2024-11-07 12:48:14.131751 

 xudouswyd,     I WAS HERE XUDOUSI WAS HERE XUDOUSI WAS HERE XUDOUSI WAS HERE XUDOUSI WAS HERE XUDOUSI WAS HERE XUDOUS,        <Channel name: kaicenat>,       2024-11-07 12:48:19.504364 

 xudouswyd,     RAKAI GIFT 100RAKAI GIFT 100RAKAI GIFT 100RAKAI GIFT 100RAKAI GIFT 100RAKAI GIFT 100RAKAI GIFT 100RAKAI GIFT 100RAKAI GIFT 100RAKAI GIFT 100RAKAI GIFT 100,        <Channel name: kaicenat>,       2024-11-07 12:57:56.167348 

 xudouswyd,     RAKAI GIFT 100RAKAI GIFT 100RAKAI GIFT 100RAKAI GIFT 100RAKAI GIFT 100RAKAI GIFT 100RAKAI GIFT 100RAKAI GIFT 100RAKAI GIFT 100,        <Channel name: kaicenat>,       2024-11-07 12:58:04.827316 

 xudouswyd,     RAKAI GIFT 100RAKAI GIFT 100RAKAI GIFT 100RAKAI GIFT 100RAKAI GIFT 100RAKAI GIFT 100RAKAI GIFT 100RAKAI GIFT 100,        <Channel name: kaicenat>,       2024-11-07 12:58:11.319981 

 xudouswyd,     RAKAI GIFT 100RAKAI GIFT 100RAKAI GIFT 100RAKAI GIFT 100RAKAI GIFT 100RAKAI GIFT 100RAKAI GIFT 100RAKAI GIFT 100RAKAI GIFT 100RAKAI GIFT 100RAKAI GIFT 100,        <Channel name: kaicenat>,       2024-11-07 12:58:20.141260 
