
 yotristen01,     classic,        <Channel name: kaicenat>,       2024-11-07 02:23:30.006136 

 yotristen01,     damn....,        <Channel name: kaicenat>,       2024-11-07 02:23:44.819528 

 yotristen01,     mmmmmm,        <Channel name: kaicenat>,       2024-11-07 02:23:59.945790 

 yotristen01,     mhm,        <Channel name: kaicenat>,       2024-11-07 02:24:16.507668 

 yotristen01,     RAGEEEEEE,        <Channel name: kaicenat>,       2024-11-07 02:42:03.255829 

 yotristen01,     JOSHY,        <Channel name: kaicenat>,       2024-11-07 02:42:10.886381 

 yotristen01,     OOOO,        <Channel name: kaicenat>,       2024-11-07 02:42:24.206604 

 yotristen01,     ??,        <Channel name: kaicenat>,       2024-11-07 02:42:37.604651 

 yotristen01,     nahhh,        <Channel name: kaicenat>,       2024-11-07 02:42:53.527836 
