
 youknomaine,     wwww,        <Channel name: lacy>,       2024-11-07 12:23:58.413720 

 youknomaine,     wwwww,        <Channel name: lacy>,       2024-11-07 12:24:00.415219 

 youknomaine,     wwwwwwwwww,        <Channel name: lacy>,       2024-11-07 12:24:03.955154 

 youknomaine,     wwwwww,        <Channel name: lacy>,       2024-11-07 12:24:05.526547 

 youknomaine,     wwwwwwwwwwww,        <Channel name: lacy>,       2024-11-07 12:24:20.540870 

 youknomaine,     wwwwwwwwwwwwwwww,        <Channel name: lacy>,       2024-11-07 12:24:23.767819 

 youknomaine,     wwwwwwwwwwww,        <Channel name: lacy>,       2024-11-07 12:24:27.983107 

 youknomaine,     wwwwwwwwwwwwwwwww,        <Channel name: lacy>,       2024-11-07 12:24:32.923605 

 youknomaine,     wwwwwwwwwwwwwwwwwwwwwwwwwww,        <Channel name: lacy>,       2024-11-07 12:24:39.106402 

 youknomaine,     wwwwwwwwwwwwwwww,        <Channel name: lacy>,       2024-11-07 12:24:42.425490 

 youknomaine,     wwwwww,        <Channel name: lacy>,       2024-11-07 12:24:44.009227 

 youknomaine,     wwwwwwwwww,        <Channel name: lacy>,       2024-11-07 12:24:47.944567 

 youknomaine,     wwwwwww,        <Channel name: lacy>,       2024-11-07 12:24:49.579861 

 youknomaine,     it is,        <Channel name: lacy>,       2024-11-07 12:55:57.504625 
