
 yrgyeagerist,     DUH,        <Channel name: kaicenat>,       2024-11-07 01:23:05.684652 

 yrgyeagerist,     @mari U wrong as hell,        <Channel name: kaicenat>,       2024-11-07 01:46:32.085891 

 yrgyeagerist,     LMAAAOOOOOOO,        <Channel name: kaicenat>,       2024-11-07 01:46:45.278467 

 yrgyeagerist,     27,        <Channel name: kaicenat>,       2024-11-07 02:38:35.664428 

 yrgyeagerist,     RAGE IS 27,        <Channel name: kaicenat>,       2024-11-07 02:38:44.432179 

 yrgyeagerist,     @furbycurby nigga tryna make our goat look old,        <Channel name: kaicenat>,       2024-11-07 02:39:18.300229 

 yrgyeagerist,     LMAOAOAOAOAOAO,        <Channel name: kaicenat>,       2024-11-07 02:41:56.158815 

 yrgyeagerist,     YESSS,        <Channel name: kaicenat>,       2024-11-07 02:41:58.465633 

 yrgyeagerist,     PPLEASEEEE,        <Channel name: kaicenat>,       2024-11-07 02:42:05.471217 

 yrgyeagerist,     CALL HIS PHONE,        <Channel name: kaicenat>,       2024-11-07 02:42:17.795505 

 yrgyeagerist,     SYK,        <Channel name: kaicenat>,       2024-11-07 02:42:28.582217 

 yrgyeagerist,     CALL HIS PHONE,        <Channel name: kaicenat>,       2024-11-07 02:42:31.903828 

 yrgyeagerist,     CALL HIS PHONEE,        <Channel name: kaicenat>,       2024-11-07 02:42:50.731345 
