
 yunndi,     Kyrgyzstan,        <Channel name: shadowkekw>,       2024-11-07 10:16:57.972260 

 yunndi,     Denmark,        <Channel name: shadowkekw>,       2024-11-07 10:18:14.486357 

 yunndi,     Nederland,        <Channel name: shadowkekw>,       2024-11-07 10:19:39.193656 

 yunndi,     Algeria,        <Channel name: shadowkekw>,       2024-11-07 10:28:03.066297 

 yunndi,     Norway,        <Channel name: shadowkekw>,       2024-11-07 10:30:56.774567 

 yunndi,     Ireland,        <Channel name: shadowkekw>,       2024-11-07 10:33:47.778899 

 yunndi,     Vietnam,        <Channel name: shadowkekw>,       2024-11-07 10:36:09.957777 

 yunndi,     Sweden,        <Channel name: shadowkekw>,       2024-11-07 10:36:47.769539 

 yunndi,     Moldova,        <Channel name: shadowkekw>,       2024-11-07 10:37:42.272424 

 yunndi,     Thailand,        <Channel name: shadowkekw>,       2024-11-07 10:38:50.745150 

 yunndi,     Iceland,        <Channel name: shadowkekw>,       2024-11-07 10:40:01.825277 

 yunndi,     Ghana,        <Channel name: shadowkekw>,       2024-11-07 10:42:01.793753 

 yunndi,     Turkey,        <Channel name: shadowkekw>,       2024-11-07 10:44:37.997829 

 yunndi,     Iceland,        <Channel name: shadowkekw>,       2024-11-07 10:46:16.527619 

 yunndi,     Latvia,        <Channel name: shadowkekw>,       2024-11-07 10:49:44.036379 

 yunndi,     Montenegro,        <Channel name: shadowkekw>,       2024-11-07 10:50:22.276282 

 yunndi,     Iceland,        <Channel name: shadowkekw>,       2024-11-07 10:51:04.820820 

 yunndi,     Vietnam,        <Channel name: shadowkekw>,       2024-11-07 10:52:21.829886 

 yunndi,     Lebanon,        <Channel name: shadowkekw>,       2024-11-07 10:53:17.121060 

 yunndi,     Spain,        <Channel name: shadowkekw>,       2024-11-07 10:54:19.250430 

 yunndi,     Finland,        <Channel name: shadowkekw>,       2024-11-07 10:55:10.557608 

 yunndi,     Hungary,        <Channel name: shadowkekw>,       2024-11-07 10:56:14.596545 

 yunndi,     Chad,        <Channel name: shadowkekw>,       2024-11-07 10:57:17.462073 

 yunndi,     Thailand,        <Channel name: shadowkekw>,       2024-11-07 11:00:36.545909 
